trend_ma,hold_days,atr_stop_mult,sharpe,max_drawdown,win_rate,ppt_bps,cpr,trade_count,is_baseline
150,3,1.5,0.3058,-0.0726,0.5579,9.3611,0.0426,328,False
150,3,2.0,0.2752,-0.0721,0.5671,8.6367,0.0424,328,False
150,3,2.5,0.3033,-0.0702,0.5671,9.6208,0.0424,328,False
150,3,3.0,0.2866,-0.0719,0.5671,9.0731,0.0424,328,False
150,5,1.5,0.1916,-0.1026,0.518,7.9035,0.031,305,False
150,5,2.0,0.2529,-0.0917,0.5508,11.3711,0.0303,305,False
150,5,2.5,0.3298,-0.0748,0.5607,16.0359,0.0295,305,False
150,5,3.0,0.3401,-0.0723,0.5607,16.8553,0.0295,305,False
150,7,1.5,0.2055,-0.1137,0.527,10.1128,0.0264,296,False
150,7,2.0,0.2782,-0.108,0.5811,15.1753,0.0253,296,False
150,7,2.5,0.4126,-0.078,0.6014,25.0757,0.0245,296,False
150,7,3.0,0.4756,-0.0722,0.6115,30.3466,0.0241,296,False
200,3,1.5,0.3058,-0.0726,0.5579,9.3611,0.0426,328,False
200,3,2.0,0.2752,-0.0721,0.5671,8.6367,0.0424,328,False
200,3,2.5,0.3033,-0.0702,0.5671,9.6208,0.0424,328,False
200,3,3.0,0.2866,-0.0719,0.5671,9.0731,0.0424,328,False
200,5,1.5,0.1916,-0.1026,0.518,7.9035,0.031,305,False
200,5,2.0,0.2529,-0.0917,0.5508,11.3711,0.0303,305,True
200,5,2.5,0.3298,-0.0748,0.5607,16.0359,0.0295,305,False
200,5,3.0,0.3401,-0.0723,0.5607,16.8553,0.0295,305,False
200,7,1.5,0.2055,-0.1137,0.527,10.1128,0.0264,296,False
200,7,2.0,0.2782,-0.108,0.5811,15.1753,0.0253,296,False
200,7,2.5,0.4126,-0.078,0.6014,25.0757,0.0245,296,False
200,7,3.0,0.4756,-0.0722,0.6115,30.3466,0.0241,296,False
250,3,1.5,0.3058,-0.0726,0.5579,9.3611,0.0426,328,False
250,3,2.0,0.2752,-0.0721,0.5671,8.6367,0.0424,328,False
250,3,2.5,0.3033,-0.0702,0.5671,9.6208,0.0424,328,False
250,3,3.0,0.2866,-0.0719,0.5671,9.0731,0.0424,328,False
250,5,1.5,0.1916,-0.1026,0.518,7.9035,0.031,305,False
250,5,2.0,0.2529,-0.0917,0.5508,11.3711,0.0303,305,False
250,5,2.5,0.3298,-0.0748,0.5607,16.0359,0.0295,305,False
250,5,3.0,0.3401,-0.0723,0.5607,16.8553,0.0295,305,False
250,7,1.5,0.2055,-0.1137,0.527,10.1128,0.0264,296,False
250,7,2.0,0.2782,-0.108,0.5811,15.1753,0.0253,296,False
250,7,2.5,0.4126,-0.078,0.6014,25.0757,0.0245,296,False
250,7,3.0,0.4756,-0.0722,0.6115,30.3466,0.0241,296,False
