ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,total_cost,pnl,exit_type,hold_trading_days,atr_stop,liquidity_constrained
IWM,2005-02-09,2005-02-10,47.9471,46.7295,695.2108,-846.4477,10.608,-857.0557,stop,1,46.7295,False
QQQ,2005-03-15,2005-03-21,31.8459,31.148,1037.7378,-724.1814,13.8269,-738.0083,trend_break,4,30.8769,False
QQQ,2005-04-01,2005-04-05,31.3352,31.0544,1044.7879,-293.3917,13.8778,-307.2695,trend_break,2,30.4805,False
SPY,2005-04-01,2005-04-07,80.3621,80.7754,408.1729,168.6808,7.4788,161.202,time,4,78.725,False
IWM,2005-04-01,2005-04-07,46.3685,46.5347,704.4055,117.089,10.5848,106.5042,time,4,45.1871,False
SPY,2005-06-17,2005-06-23,82.6657,81.5231,396.639,-453.2269,7.3032,-460.53,time,4,81.3603,False
SPY,2005-07-14,2005-07-20,83.6452,83.958,390.1593,122.0516,7.2798,114.7718,time,4,82.1275,False
QQQ,2005-07-14,2005-07-20,32.9401,33.613,989.2235,665.6971,13.3637,652.3334,time,4,32.1296,False
IWM,2005-07-14,2005-07-20,50.6664,51.0072,641.5341,218.6382,10.0374,208.6008,time,4,49.1928,False
SPY,2005-08-19,2005-08-25,83.4071,82.6997,395.1723,-279.5363,7.3318,-286.8681,time,4,81.9798,False
IWM,2005-08-22,2005-08-26,49.4092,48.8487,666.7712,-373.685,10.2532,-383.9382,time,4,47.9854,False
IWM,2005-10-03,2005-10-05,50.5099,49.1135,647.6417,-904.3802,10.0165,-914.3966,stop,2,49.1135,False
QQQ,2005-10-03,2005-10-06,33.6811,32.8841,971.9557,-774.7077,13.109,-787.8167,stop,3,32.8841,False
IWM,2005-11-14,2005-11-18,50.5251,50.8138,636.697,183.8024,9.939,173.8634,time,4,48.8701,False
SPY,2005-11-17,2005-11-23,84.4794,86.7676,378.3691,865.7849,7.1164,858.6685,time,4,82.9503,False
QQQ,2005-11-28,2005-11-30,35.7766,35.1073,908.4685,-608.0319,12.4397,-620.4717,stop,2,35.1073,False
SPY,2005-11-28,2005-12-02,86.9179,86.6446,374.0699,-102.2012,7.0612,-109.2624,time,4,85.5313,False
SPY,2005-12-23,2005-12-30,87.0558,85.6569,370.6829,-518.5427,6.9818,-525.5245,stop,4,85.6569,False
QQQ,2005-12-23,2005-12-30,35.4445,34.6163,910.1911,-753.871,12.4411,-766.3121,stop,4,34.6541,False
IWM,2005-12-23,2005-12-30,51.9329,50.8805,620.6226,-653.1305,9.6234,-662.7538,time,4,50.6119,False
QQQ,2006-01-06,2006-01-12,36.0849,36.7168,876.2264,553.6747,12.1565,541.5182,time,4,35.2166,False
IWM,2006-01-06,2006-01-12,52.7108,53.6335,598.2034,551.961,9.4314,542.5296,time,4,51.3326,False
QQQ,2006-02-27,2006-03-03,35.3165,35.3933,905.5248,69.5984,12.4526,57.1458,time,4,34.3687,False
QQQ,2006-04-25,2006-05-01,35.9479,35.4096,890.1485,-479.1952,12.2391,-491.4344,time,4,34.9958,False
SPY,2006-05-05,2006-05-11,91.0352,90.2768,349.7017,-265.2011,6.7553,-271.9563,time,4,89.3688,False
SPY,2006-05-26,2006-06-02,88.25,88.9325,359.7112,245.519,6.9029,238.616,time,4,86.1493,False
SPY,2006-09-01,2006-09-08,90.8074,90.2119,350.4565,-208.7097,6.7474,-215.4572,time,4,89.4502,False
SPY,2006-09-15,2006-09-21,92.0205,91.7145,345.056,-105.6002,6.6841,-112.2843,time,4,90.7662,False
SPY,2006-11-03,2006-11-09,95.4701,96.1031,332.1961,210.2522,6.5582,203.6941,time,4,94.1209,False
QQQ,2006-11-13,2006-11-17,36.8312,37.9007,862.9278,922.8335,11.9936,910.8399,time,4,35.7814,False
SPY,2006-11-22,2006-11-27,97.8905,96.3236,327.7777,-513.5765,6.5267,-520.1032,stop,2,96.3236,False
IWM,2006-11-22,2006-11-27,60.6454,59.07,528.3786,-832.4081,8.6431,-841.0513,stop,2,59.07,False
QQQ,2006-11-22,2006-11-28,38.1402,37.2248,841.024,-769.9175,11.7149,-781.6324,stop,3,37.237,False
QQQ,2006-12-27,2007-01-04,37.0132,37.7413,847.5916,617.1427,11.7818,605.3609,time,4,36.0221,False
IWM,2007-01-16,2007-01-19,61.0878,59.3526,516.8596,-896.872,8.4719,-905.3438,stop,3,59.3526,False
QQQ,2007-02-14,2007-02-21,37.7242,38.7092,828.9662,816.5835,11.6007,804.9828,time,4,36.8101,False
SPY,2007-03-08,2007-03-14,98.289,95.6684,320.8944,-840.9441,6.4413,-847.3854,stop,4,95.6684,False
QQQ,2007-03-08,2007-03-14,36.9447,36.8247,851.7063,-102.1418,11.8555,-113.9972,time,4,35.7234,False
IWM,2007-03-08,2007-03-14,59.9464,59.5377,523.0434,-213.7863,8.6106,-222.3969,time,4,57.4125,False
SPY,2007-03-21,2007-03-27,99.072,100.3078,314.3753,388.5069,6.3835,382.1234,time,4,96.4177,False
QQQ,2007-05-04,2007-05-10,40.0879,39.5907,780.1153,-387.8305,11.0238,-398.8543,time,4,39.303,False
SPY,2007-05-18,2007-05-24,106.7324,106.0654,291.7597,-194.6149,6.0763,-200.6911,time,4,104.8918,False
QQQ,2007-06-01,2007-06-07,40.7821,39.8075,761.9346,-742.6391,10.8133,-753.4524,stop,4,39.8075,False
