ticker,buy_date,sell_date,cost_basis,net_proceeds,pnl,return_pct
XLE,2006-01-09,2006-02-13,25000.0,24583.9492,-416.0508,-0.016642
XLE,2006-02-27,2006-03-13,24583.9492,23778.4214,-805.5278,-0.032766
XLE,2006-03-27,2006-05-22,23778.4214,23582.7594,-195.662,-0.008229
XLE,2006-06-05,2006-06-12,23582.7594,21879.3291,-1703.4303,-0.072232
XLE,2006-07-03,2006-07-17,21879.3291,21908.3945,29.0654,0.001328
XLE,2006-07-31,2006-09-05,21908.3945,21158.3555,-750.039,-0.034235
XLF,2006-10-09,2006-10-23,21158.3555,21047.9017,-110.4538,-0.00522
XLU,2006-12-18,2006-12-26,21047.9017,20788.0533,-259.8484,-0.012346
XLK,2007-01-16,2007-01-22,10394.0266,10133.4262,-260.6004,-0.025072
XLY,2007-01-16,2007-01-29,10394.0266,10286.617,-107.4096,-0.010334
XLY,2007-02-05,2007-03-05,6806.6811,6395.9142,-410.7669,-0.060348
XLK,2007-03-26,2007-04-02,6395.9142,6333.602,-62.3122,-0.009743
XLK,2007-04-09,2007-04-16,6333.602,6333.5723,-0.0297,-5e-06
XLB,2007-02-05,2007-05-29,6806.6811,7476.0609,669.3798,0.098342
XLU,2007-02-05,2007-05-29,6806.6811,7509.541,702.8599,0.10326
XLI,2007-05-29,2007-06-04,7492.8009,7635.0261,142.2252,0.018982
XLV,2007-05-29,2007-06-04,7492.8009,7472.1527,-20.6482,-0.002756
XLB,2007-06-04,2007-06-11,7553.5894,7342.9564,-210.633,-0.027885
XLI,2007-06-11,2007-07-30,7342.9564,7519.5015,176.5451,0.024043
XLK,2007-06-04,2007-07-30,7553.5894,7596.7289,43.1395,0.005711
XLE,2007-04-16,2007-07-30,6333.5723,6944.3601,610.7878,0.096437
XLK,2007-09-04,2007-09-10,11030.2953,10940.4635,-89.8318,-0.008144
XLI,2007-09-24,2007-10-08,5470.2317,5574.1977,103.966,0.019006
XLB,2007-09-24,2007-11-12,5470.2317,5425.29,-44.9417,-0.008216
XLK,2007-11-05,2007-11-12,5574.1977,5061.0473,-513.1504,-0.092058
XLE,2007-09-04,2007-11-12,11030.2953,11623.317,593.0217,0.053763
