ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
IJH,2005-01-05,2005-01-18,9.4858,9.4545,703,-21.99,7.0955,7.0913,14.1868,False,8,HIGH_EXIT,True,True,True,IS
IWM,2005-01-05,2005-01-19,47.111,46.851,141,-36.65,1.0482,1.0464,2.0947,False,9,RSI_EXIT,True,True,True,IS
VB,2005-01-05,2005-01-19,39.6755,39.7199,168,7.46,4.2927,4.301,8.5937,False,9,RSI_EXIT,True,True,True,IS
IJH,2005-01-25,2005-01-28,9.3947,9.4767,708,58.04,7.1122,7.1511,14.2633,False,3,HIGH_EXIT,True,True,False,IS
VB,2005-01-25,2005-01-28,38.8665,39.3305,171,79.34,4.2988,4.3444,8.6432,False,3,RSI_EXIT,True,True,False,IS
IWM,2005-02-23,2005-02-28,46.5605,47.8349,143,182.23,1.0661,1.0769,2.143,False,3,RSI_EXIT,True,True,True,IS
IJH,2005-02-23,2005-02-28,9.6929,9.9206,690,157.08,6.9362,7.0352,13.9714,False,3,RSI_EXIT,True,True,True,IS
VB,2005-02-23,2005-02-28,39.7937,40.6965,168,151.68,4.3876,4.4725,8.8601,False,3,RSI_EXIT,True,True,True,IS
IJR,2005-03-11,2005-04-05,20.5028,20.0871,332,-138.03,5.1353,5.0469,10.1822,False,16,MAX_HOLD,True,True,True,IS
IWM,2005-03-14,2005-04-06,47.307,46.4335,144,-125.79,1.0773,1.0662,2.1435,False,16,HIGH_EXIT,True,True,True,IS
VB,2005-03-14,2005-04-06,40.5095,39.8182,168,-116.14,4.8618,4.4545,9.3163,True,16,MAX_HOLD,True,True,True,IS
IWM,2005-04-15,2005-04-22,44.4335,45.0323,151,90.42,1.1062,1.1158,2.2219,False,5,HIGH_EXIT,False,True,True,IS
IJH,2005-04-15,2005-04-22,9.4629,9.4756,710,9.0,7.0659,7.1259,14.1918,False,5,HIGH_EXIT,True,True,True,IS
VB,2005-04-15,2005-04-22,38.29,38.6052,175,55.16,4.5231,4.645,9.168,False,5,HIGH_EXIT,True,True,True,IS
