seasonal_lookback_years,top_k_sectors,use_regime_filter,sharpe,cagr,max_drawdown,win_rate,trade_count,position_switches,total_return
5,1,True,0.5719,0.0865,-0.3503,0.6364,187,187,4.7063
5,1,False,0.4855,0.0967,-0.677,0.6274,212,212,5.9469
5,2,True,0.5531,0.0716,-0.3209,0.6182,330,330,3.2682
5,2,False,0.4504,0.0778,-0.6085,0.6132,393,393,3.8248
5,3,True,0.5744,0.0706,-0.2926,0.6157,445,445,3.1858
5,3,False,0.4643,0.078,-0.6291,0.6128,532,532,3.8437
10,1,True,0.5004,0.0728,-0.3723,0.6298,181,181,3.3741
10,1,False,0.4428,0.0822,-0.6093,0.6275,204,204,4.2562
10,2,True,0.5942,0.0786,-0.3106,0.6235,324,324,3.9008
10,2,False,0.5163,0.0928,-0.5565,0.6162,383,383,5.4485
10,3,True,0.5908,0.0729,-0.2835,0.6261,444,444,3.3838
10,3,False,0.4923,0.0842,-0.5882,0.6279,516,516,4.4576
15,1,True,0.4063,0.0558,-0.4607,0.5967,181,181,2.1259
15,1,False,0.3164,0.0486,-0.6093,0.5882,204,204,1.7077
15,2,True,0.5238,0.0671,-0.377,0.625,336,336,2.9083
15,2,False,0.4291,0.0724,-0.5565,0.6086,396,396,3.337
15,3,True,0.5273,0.0633,-0.2687,0.6182,440,440,2.6276
15,3,False,0.4271,0.0691,-0.5882,0.6185,519,519,3.0698
