period,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,liquidity_constrained,q_over_adv
IS,SHY,2003-01-02,2003-05-01,52.4689,52.9368,1904.7313,830.35,rebalance,True,0.01358582
IS,XLB,2003-05-01,2003-06-02,6.0626,6.3115,8298.6716,1990.96,rebalance,True,0.01321192
IS,XLI,2003-05-01,2003-06-02,13.9386,14.4597,3611.0276,1830.3,rebalance,True,0.01332089
IS,XLE,2003-06-02,2003-07-01,6.5329,6.3749,7984.5725,-1332.43,rebalance,True,0.0124837
IS,XLP,2003-06-02,2003-07-01,11.3106,11.255,4613.2934,-312.16,rebalance,True,0.02454532
IS,XLK,2003-07-01,2003-08-01,6.3086,6.5548,8128.2139,1927.4,rebalance,False,0.00620337
IS,XLV,2003-07-01,2003-08-01,19.951,19.7111,2571.3328,-661.79,rebalance,True,0.02730377
IS,XLF,2003-08-01,2003-09-02,13.192,13.043,3932.2198,-632.73,rebalance,False,0.00131202
IS,XLE,2003-09-02,2003-10-01,6.567,6.4365,7792.3287,-1086.28,rebalance,True,0.01597902
IS,XLI,2003-08-01,2003-10-01,15.1115,15.3289,3432.8185,698.33,rebalance,False,0.00675466
IS,XLP,2003-10-01,2003-11-03,11.4798,12.0442,4466.6553,2468.68,rebalance,True,0.01741182
IS,XLU,2003-10-01,2003-11-03,5.0602,5.1063,10128.097,387.19,rebalance,True,0.01235857
IS,XLF,2003-11-03,2003-12-01,14.0726,14.0571,3740.9498,-104.58,rebalance,False,0.00163219
IS,XLK,2003-11-03,2004-01-02,7.3793,7.6869,7131.2574,2125.57,rebalance,False,0.00725333
IS,XLB,2003-12-01,2004-02-02,7.5459,7.8834,6954.0692,2281.35,rebalance,False,0.00322731
IS,XLE,2004-01-02,2004-02-02,7.4917,7.6076,7298.9289,777.99,rebalance,False,0.00332754
IS,XLK,2004-02-02,2004-03-01,8.0213,7.7921,6861.9956,-1637.82,rebalance,False,0.00500102
IS,XLV,2004-02-02,2004-03-01,21.4254,21.6462,2569.9936,523.97,rebalance,False,0.00718839
IS,XLB,2004-03-01,2004-04-01,8.3215,8.1431,6541.1961,-1229.9,rebalance,False,0.00206301
IS,XLE,2004-03-01,2004-05-03,8.0467,8.0971,6764.5169,275.95,rebalance,False,0.00285068
IS,XLF,2004-04-01,2004-05-03,15.473,14.6903,3435.4927,-2732.79,rebalance,False,0.00053387
IS,XLB,2004-05-03,2004-06-01,7.7313,7.9233,6790.8686,1239.65,rebalance,False,0.00205871
IS,XLI,2004-05-03,2004-06-01,17.4065,17.7699,3017.3522,1050.97,rebalance,False,0.00605991
IS,XLE,2004-06-01,2004-07-01,8.1242,8.5829,6596.9239,2962.81,rebalance,False,0.00183982
IS,XLP,2004-06-01,2004-07-01,13.1118,13.2122,4088.5013,360.89,rebalance,False,0.009548
IS,XLK,2004-07-01,2004-08-02,7.7583,7.2549,7114.2148,-3647.83,rebalance,False,0.00669227
IS,XLV,2004-07-01,2004-08-02,21.2266,20.0612,2601.4168,-3073.88,rebalance,True,0.01018406
IS,XLB,2004-08-02,2004-09-01,8.0973,8.259,6395.3897,972.53,rebalance,False,0.00342388
IS,XLF,2004-08-02,2004-09-01,14.6711,15.1589,3530.8412,1676.48,rebalance,False,0.00108853
IS,XLE,2004-09-01,2004-10-01,8.6916,9.558,6104.5577,5227.03,rebalance,False,0.00134189
IS,XLI,2004-09-01,2004-10-01,18.5019,18.7327,2868.5195,618.29,rebalance,False,0.00418964
IS,XLP,2004-10-01,2004-11-01,12.4195,12.5055,4503.7648,333.94,rebalance,False,0.00752949
IS,XLU,2004-10-01,2004-11-01,5.9744,6.2986,9358.4969,2955.03,rebalance,False,0.00562951
IS,XLF,2004-11-01,2004-12-01,15.1356,15.6366,3800.1804,1853.9,rebalance,False,0.00088289
IS,XLK,2004-11-01,2005-01-03,7.5329,8.1498,7632.6262,4637.0,rebalance,False,0.00516164
IS,XLB,2004-12-01,2005-02-01,9.2386,9.0382,6419.4908,-1350.51,rebalance,False,0.00363657
IS,XLE,2005-01-03,2005-02-01,9.8801,10.3344,6282.1096,2788.49,rebalance,False,0.00081216
IS,XLK,2005-02-01,2005-03-01,7.6632,7.7015,8003.4514,231.94,rebalance,False,0.00539411
IS,XLV,2005-02-01,2005-03-01,20.483,21.146,2995.5078,1935.82,rebalance,False,0.00504362
IS,XLB,2005-03-01,2005-04-01,9.8398,9.4667,6337.7724,-2429.35,rebalance,False,0.00159045
IS,XLE,2005-03-01,2005-05-02,11.9738,11.1184,5208.8392,-4511.54,rebalance,False,0.00014235
IS,XLF,2005-04-01,2005-05-02,15.2574,15.3054,3924.8427,137.61,rebalance,False,0.00038663
IS,XLB,2005-05-02,2005-06-01,8.839,8.779,6660.6162,-464.51,rebalance,False,0.00136826
IS,XLI,2005-05-02,2005-06-01,19.7574,20.3804,2980.6922,1809.66,rebalance,False,0.00222047
IS,XLE,2005-06-01,2005-07-01,11.5111,12.2605,5168.7083,3814.82,rebalance,False,0.00020319
IS,XLU,2005-06-01,2005-07-01,7.3091,7.7527,8138.01,3535.57,rebalance,False,0.00323735
IS,XLK,2005-07-01,2005-08-01,7.6786,8.0962,8216.2955,3354.35,rebalance,False,0.00355568
IS,XLV,2005-07-01,2005-08-01,21.8447,22.4418,2889.3252,1675.38,rebalance,False,0.00386993
IS,XLB,2005-08-01,2005-09-01,9.0661,8.7174,7229.8384,-2590.58,rebalance,False,0.00149971
IS,XLF,2005-08-01,2005-09-01,16.1636,15.8524,4056.2506,-1315.8,rebalance,False,0.00039647
IS,XLI,2005-09-01,2005-10-03,19.7528,20.4039,3217.3412,2043.56,rebalance,False,0.00294223
IS,XLE,2005-09-01,2005-11-01,14.1309,13.4144,4497.0053,-3276.19,rebalance,False,7.572e-05
IS,XLU,2005-10-03,2005-11-01,8.3259,7.7717,7869.4499,-4434.74,rebalance,False,0.00102919
IS,XLY,2005-11-01,2005-12-01,12.3189,12.8483,4920.9313,2546.56,rebalance,False,0.00210942
IS,XLK,2005-11-01,2006-01-03,7.8088,8.1015,7761.2356,2199.13,rebalance,False,0.00296798
IS,XLB,2005-12-01,2006-02-01,9.4857,10.232,6652.1463,4894.64,rebalance,False,0.00147263
IS,XLE,2006-01-03,2006-02-01,14.0228,15.9228,4474.8932,8443.27,rebalance,False,9.866e-05
IS,XLK,2006-02-01,2006-03-01,8.2867,8.3947,8388.7334,825.71,rebalance,False,0.00218686
IS,XLV,2006-02-01,2006-03-01,22.824,22.9441,3046.8959,313.34,rebalance,False,0.00300178
IS,XLB,2006-03-01,2006-04-03,9.9686,10.5598,7024.5807,4078.62,rebalance,False,0.00093927
IS,XLE,2006-03-01,2006-05-01,14.6072,15.9866,4794.7646,6550.59,rebalance,False,0.00010798
IS,XLY,2006-04-03,2006-05-01,13.1341,13.239,5636.9424,522.99,rebalance,False,0.00384412
IS,XLB,2006-05-01,2006-06-01,10.8632,10.3144,6949.9316,-3887.41,rebalance,False,0.00069382
IS,XLI,2006-05-01,2006-06-01,23.4566,23.0549,3219.4324,-1349.39,rebalance,False,0.0019261
IS,XLE,2006-06-01,2006-07-03,15.2783,15.9064,4766.7756,2930.8,rebalance,False,7.863e-05
IS,XLP,2006-06-01,2006-07-03,14.0858,14.3747,5169.9989,1428.29,rebalance,False,0.00315305
IS,XLK,2006-07-03,2006-08-01,7.8276,7.6077,9570.6422,-2193.58,rebalance,False,0.00333233
IS,XLV,2006-07-03,2006-08-01,21.5163,22.6907,3483.2902,4030.63,rebalance,False,0.00260981
IS,XLB,2006-08-01,2006-09-01,10.0425,10.3546,7544.9883,2275.01,rebalance,False,0.00125816
IS,XLF,2006-08-01,2006-09-01,18.1024,18.454,4186.7155,1411.4,rebalance,False,0.0005694
IS,XLI,2006-09-01,2006-10-02,22.1444,23.0266,3502.6355,3029.77,rebalance,False,0.00201956
IS,XLE,2006-09-01,2006-11-01,15.6136,15.5608,4967.3806,-327.06,rebalance,False,9.801e-05
IS,XLU,2006-10-02,2006-11-01,8.7022,9.1476,9251.1665,4030.71,rebalance,False,0.00116405
IS,XLF,2006-11-01,2006-12-01,19.6642,19.7029,4110.1186,96.63,rebalance,False,0.00060794
IS,XLK,2006-11-01,2007-01-03,8.8911,9.0821,9087.2406,1645.76,rebalance,False,0.00292008
IS,XLB,2006-12-01,2007-02-01,11.4124,12.1056,7083.5871,4830.6,rebalance,False,0.00092602
IS,XLE,2007-01-03,2007-02-01,16.3621,16.3032,5034.443,-363.98,rebalance,False,8.046e-05
