sectors_held,quality_lookback_months,dma_window,rebalance_frequency,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps
2,6,150,monthly,0.672,0.0676,-0.1933,1.4985,51,50,0.74,3.5894,388.47
2,6,150,bi-monthly,0.7611,0.079,-0.1876,1.8967,42,41,0.8293,6.957,531.98
2,6,200,monthly,0.686,0.0716,-0.1525,1.6327,39,37,0.8108,10.5009,603.1
2,6,200,bi-monthly,0.7463,0.08,-0.1287,1.937,32,30,0.9,11.8236,792.44
2,6,250,monthly,0.5849,0.0611,-0.1652,1.292,42,40,0.8,7.4236,492.2
2,6,250,bi-monthly,0.7512,0.0811,-0.1287,1.9795,29,27,0.8889,12.003,907.04
2,12,150,monthly,0.6163,0.0659,-0.1991,1.4417,43,42,0.6905,4.1461,446.83
2,12,150,bi-monthly,0.7106,0.077,-0.2246,1.8256,39,38,0.7632,8.7845,576.02
2,12,200,monthly,0.6553,0.0705,-0.1698,1.5954,31,29,0.8276,44.2746,755.96
2,12,200,bi-monthly,0.682,0.0773,-0.1799,1.8354,29,27,0.7778,19.2728,846.95
2,12,250,monthly,0.5603,0.0594,-0.1802,1.2428,34,32,0.7812,17.6339,593.88
2,12,250,bi-monthly,0.7011,0.0793,-0.1799,1.9095,26,24,0.7917,20.6776,984.08
2,18,150,monthly,0.704,0.0756,-0.1987,1.7721,37,36,0.7222,4.4953,619.69
2,18,150,bi-monthly,0.7841,0.0848,-0.2187,2.1242,31,30,0.7333,10.2311,825.09
2,18,200,monthly,0.7357,0.0795,-0.1504,1.9169,24,22,0.8182,24.6288,1168.18
2,18,200,bi-monthly,0.7545,0.0852,-0.1696,2.1411,21,19,0.7368,23.3105,1343.41
2,18,250,monthly,0.639,0.0683,-0.1734,1.5214,27,25,0.76,13.9176,911.49
2,18,250,bi-monthly,0.7745,0.0872,-0.1696,2.2232,18,16,0.75,25.2175,1642.18
3,6,150,monthly,0.8348,0.0902,-0.2067,2.3474,61,60,0.7167,5.7304,630.29
3,6,150,bi-monthly,0.8699,0.0927,-0.1595,2.4571,51,50,0.8,9.3517,776.89
3,6,200,monthly,0.8241,0.0909,-0.1607,2.3815,47,44,0.7727,20.3334,928.47
3,6,200,bi-monthly,0.7683,0.0864,-0.1435,2.1888,38,35,0.8,10.0348,1055.37
3,6,250,monthly,0.7129,0.0783,-0.1598,1.8706,51,48,0.75,11.4546,754.67
3,6,250,bi-monthly,0.7686,0.0878,-0.1542,2.248,35,32,0.7812,9.4367,1198.81
3,12,150,monthly,0.7393,0.0781,-0.1974,1.8659,57,56,0.6964,4.7079,605.55
3,12,150,bi-monthly,0.8292,0.088,-0.1609,2.2559,47,46,0.8043,11.1837,818.42
3,12,200,monthly,0.7313,0.0791,-0.1512,1.9004,40,37,0.8108,13.5118,995.25
3,12,200,bi-monthly,0.7157,0.0797,-0.1456,1.9249,35,32,0.8125,8.7268,1122.37
3,12,250,monthly,0.6302,0.0673,-0.1502,1.4873,44,41,0.7561,8.49,787.77
3,12,250,bi-monthly,0.7178,0.08,-0.1504,1.9378,31,28,0.8214,11.4392,1295.06
3,18,150,monthly,0.8091,0.087,-0.1985,2.2135,48,47,0.7021,6.0242,807.66
3,18,150,bi-monthly,0.8386,0.0909,-0.1609,2.3778,40,39,0.7949,12.5636,1006.56
3,18,200,monthly,0.809,0.0888,-0.1524,2.2884,33,30,0.8,28.6796,1392.88
3,18,200,bi-monthly,0.7523,0.0853,-0.1382,2.1439,29,26,0.7308,11.0818,1462.53
3,18,250,monthly,0.6981,0.0762,-0.1515,1.7936,38,35,0.7143,13.5379,1054.92
3,18,250,bi-monthly,0.7637,0.0877,-0.1382,2.243,26,23,0.6957,10.5643,1720.15
4,6,150,monthly,0.924,0.0958,-0.19,2.6,94,93,0.6882,4.6924,574.81
4,6,150,bi-monthly,0.9861,0.1022,-0.1252,2.9053,77,76,0.7895,8.1517,733.55
4,6,200,monthly,0.886,0.095,-0.1481,2.563,75,71,0.7606,8.7983,793.84
4,6,200,bi-monthly,0.8378,0.0921,-0.1476,2.4334,62,58,0.7586,7.7754,915.3
4,6,250,monthly,0.753,0.0806,-0.1521,1.9588,80,76,0.7368,6.4135,646.19
4,6,250,bi-monthly,0.8344,0.0931,-0.1504,2.4776,58,54,0.7407,7.6501,1002.83
4,12,150,monthly,0.9152,0.0941,-0.1693,2.5221,69,68,0.6912,5.2861,776.21
4,12,150,bi-monthly,0.9753,0.1005,-0.12,2.8185,60,59,0.8136,10.6357,946.38
4,12,200,monthly,0.8643,0.0918,-0.1485,2.4178,49,45,0.7778,11.3269,1266.72
4,12,200,bi-monthly,0.8202,0.0898,-0.1485,2.3317,45,41,0.8049,13.5483,1306.25
4,12,250,monthly,0.7294,0.0772,-0.1485,1.8318,54,50,0.74,8.1681,986.27
4,12,250,bi-monthly,0.8099,0.0901,-0.1547,2.3449,40,36,0.8056,13.6879,1517.06
4,18,150,monthly,0.9543,0.0989,-0.1754,2.7437,60,59,0.7119,6.8166,946.01
4,18,150,bi-monthly,0.9969,0.1032,-0.1215,2.9534,51,50,0.82,10.7144,1166.42
4,18,200,monthly,0.8965,0.0962,-0.1491,2.6166,39,35,0.8571,21.8165,1720.5
4,18,200,bi-monthly,0.8343,0.0922,-0.1485,2.4349,36,32,0.8125,13.0903,1711.08
4,18,250,monthly,0.7632,0.0818,-0.1491,2.004,44,40,0.8,13.2127,1311.35
4,18,250,bi-monthly,0.8238,0.0925,-0.1547,2.4485,31,27,0.8148,13.2128,2067.12
