date_entry,date_exit,asset,entry_price,exit_price,pnl_pct,pnl_dollar,hold_days,exit_reason,liquidity_constrained
2005-01-03,2005-02-01,XLI,20.8634,20.2292,-0.031154,-778.26,20,rebalance,False
2005-01-03,2006-06-01,XLF,16.3175,17.8389,0.092375,2307.48,355,rebalance,False
2005-01-03,2007-08-01,XLU,6.6909,9.8518,0.470912,11757.82,648,rebalance,False
2005-01-03,2007-08-01,XLP,13.415,16.0206,0.193225,4826.26,648,rebalance,False
2005-02-01,2007-08-01,VNQ,20.9382,29.7033,0.417501,10095.5,628,rebalance,False
2006-06-01,2007-08-01,XLV,21.6081,24.2795,0.122812,3348.65,293,rebalance,False
2007-08-01,2007-10-01,SHY,58.7485,59.7478,0.016408,2155.13,42,rebalance,False
2007-10-01,2007-12-03,XLP,16.993,17.8883,0.051844,1728.87,44,rebalance,False
2007-10-01,2007-12-03,VNQ,33.2846,30.5886,-0.081733,-2725.71,44,rebalance,False
2007-10-01,2007-12-03,XLV,25.7649,26.7302,0.036725,1224.82,44,rebalance,False
2007-10-01,2007-12-03,XLU,10.4973,11.3745,0.082525,2751.51,44,rebalance,False
2007-12-03,2008-06-02,SHY,61.1602,62.331,0.018544,2527.38,124,rebalance,False
2008-06-02,2008-08-01,XLP,17.5346,16.9926,-0.031702,-1099.28,43,rebalance,False
2008-06-02,2008-08-01,VNQ,31.5262,28.8801,-0.084607,-2934.12,43,rebalance,False
2008-06-02,2008-08-01,XLV,23.443,23.5745,0.004872,168.95,43,rebalance,False
2008-06-02,2008-08-01,XLU,10.9885,10.2641,-0.06686,-2318.04,43,rebalance,False
2008-08-01,2009-06-01,SHY,62.7577,65.11,0.03688,4884.44,208,rebalance,False
2009-06-01,2010-06-01,XLP,14.7364,17.0575,0.156569,5370.69,252,rebalance,False
2009-06-01,2010-06-01,VNQ,16.9529,26.0139,0.533314,18293.14,252,rebalance,False
2009-06-01,2010-06-01,XLU,7.4576,8.2498,0.104978,3599.76,252,rebalance,False
2009-06-01,2010-06-01,XLV,19.4511,21.8954,0.124823,4282.1,252,rebalance,False
2010-06-01,2010-10-01,SHY,66.4762,67.1267,0.009203,1552.11,86,rebalance,False
2010-10-01,2011-08-01,XLU,9.2499,10.1786,0.0993,4220.73,209,rebalance,False
2010-10-01,2011-08-01,XLP,18.3896,20.9473,0.13823,5877.06,209,rebalance,False
2010-10-01,2011-08-01,XLV,23.6196,26.886,0.1375,5846.35,209,rebalance,False
2010-10-01,2011-08-01,VNQ,28.422,34.4152,0.210045,8931.02,209,rebalance,False
2011-08-01,2011-12-01,SHY,67.7268,67.9644,0.002932,571.2,86,rebalance,False
2011-12-01,2012-06-01,XLU,10.7985,11.1552,0.032047,1563.91,125,rebalance,False
2011-12-01,2012-06-01,XLP,21.6665,23.0096,0.061216,2988.04,125,rebalance,False
2011-12-01,2012-06-01,VNQ,31.4528,35.3194,0.122176,5963.83,125,rebalance,False
2011-12-01,2012-06-01,XLV,26.5209,28.3903,0.06975,3404.76,125,rebalance,False
2012-06-01,2012-08-01,SHY,68.1102,68.1844,0.000515,107.58,42,rebalance,False
2012-08-01,2014-04-01,XLV,30.7837,48.2354,0.565949,29571.61,417,rebalance,False
2014-04-01,2015-06-01,XLK,15.7359,19.1923,0.218703,17880.11,293,rebalance,False
2012-08-01,2015-10-01,XLU,12.0215,15.5041,0.288618,15076.95,796,rebalance,False
2012-08-01,2015-10-01,XLP,24.7814,35.6889,0.439205,22948.24,796,rebalance,False
2012-08-01,2015-10-01,VNQ,38.8016,49.6292,0.278257,14539.73,796,rebalance,False
2015-06-01,2015-10-01,XLI,45.9966,41.3533,-0.101522,-10108.89,86,rebalance,False
2015-10-01,2015-12-01,SHY,69.292,68.9999,-0.004787,-1429.32,42,rebalance,False
2015-12-01,2016-02-01,XLP,37.4272,38.5632,0.029692,2204.44,41,rebalance,False
2015-12-01,2016-02-01,VNQ,52.1481,50.8944,-0.024646,-1829.88,41,rebalance,False
2015-12-01,2016-02-01,XLU,15.3361,16.3214,0.063373,4704.14,41,rebalance,False
2015-12-01,2016-02-01,XLI,45.4537,41.4123,-0.089492,-6644.47,41,rebalance,False
2016-02-01,2016-04-01,SHY,69.3413,69.495,0.001639,483.92,42,rebalance,False
2016-04-01,2017-10-02,XLI,46.2917,61.4385,0.326425,24117.38,379,rebalance,False
2017-10-02,2018-08-01,XLY,41.5152,51.7306,0.245311,24025.51,209,rebalance,False
2016-04-01,2018-12-03,VNQ,56.246,62.0357,0.102285,7557.26,674,rebalance,False
2016-04-01,2018-12-03,XLP,40.4374,46.1809,0.141329,10441.76,674,rebalance,False
2016-04-01,2018-12-03,XLU,17.9754,21.9288,0.219038,16180.54,674,rebalance,False
2018-08-01,2018-12-03,XLV,77.8662,84.2646,0.081551,9940.64,86,rebalance,False
2018-12-03,2018-12-31,SHY,70.1077,70.6812,0.008181,3169.62,18,window_end,False
2019-01-02,2019-04-01,SHY,70.6896,71.3251,0.008413,840.81,61,rebalance,False
