yield_lookback_months,top_k,spy_filter,sharpe,cagr,max_drawdown,win_rate,trade_count,total_return,position_switches
3,2,True,0.8135,0.0981,-0.2907,0.6818,66,4.9131,56
3,2,False,0.5887,0.0998,-0.5683,0.68,50,5.0889,49
3,3,True,0.8958,0.1043,-0.2118,0.6813,91,5.5838,70
3,3,False,0.5799,0.0951,-0.5742,0.6667,78,4.6199,73
3,4,True,0.8581,0.0974,-0.2068,0.7059,102,4.8435,68
3,4,False,0.5826,0.0903,-0.5807,0.6711,76,4.169,63
6,2,True,0.8802,0.1096,-0.2445,0.7241,58,6.2109,50
6,2,False,0.6013,0.1031,-0.6047,0.7838,37,5.4513,38
6,3,True,0.9308,0.109,-0.1938,0.75,72,6.1429,54
6,3,False,0.5799,0.0977,-0.5567,0.75,48,4.8736,48
6,4,True,0.8779,0.0996,-0.2002,0.7229,83,5.0766,57
6,4,False,0.6157,0.0971,-0.5406,0.7391,46,4.8178,47
12,2,True,0.8263,0.1048,-0.2499,0.7414,58,5.6456,50
12,2,False,0.5081,0.088,-0.6119,0.8108,37,3.9673,38
12,3,True,0.884,0.1051,-0.2067,0.75,64,5.6751,47
12,3,False,0.599,0.0971,-0.5958,0.7143,35,4.8144,36
12,4,True,0.8325,0.0953,-0.1824,0.6875,64,4.6346,38
12,4,False,0.5913,0.093,-0.5766,0.6522,23,4.412,24
