period,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,liquidity_constrained,q_over_adv
IS,SHY,2003-01-02,2003-05-01,52.469,52.9368,1904.7294,830.23,rebalance,True,0.0135858
IS,XLE,2003-05-01,2003-07-01,5.9274,6.3749,5658.8023,2482.61,rebalance,False,0.00884741
IS,XLP,2003-07-01,2003-10-01,11.255,11.4798,3197.4007,680.94,rebalance,True,0.01708743
IS,XLE,2003-10-01,2004-01-02,6.4365,7.4917,5689.1206,5951.14,rebalance,False,0.00414016
IS,XLB,2003-05-01,2005-01-03,6.0626,9.3651,5532.5692,18215.34,rebalance,False,0.00317894
IS,XLK,2005-01-03,2005-10-03,8.1499,7.9889,6343.3866,-1079.62,rebalance,False,0.00312158
IS,XLB,2005-10-03,2005-12-01,8.7749,9.4857,5762.1775,4038.12,rebalance,False,0.00127547
IS,XLK,2005-12-01,2006-01-03,8.3912,8.1015,6499.6134,-1943.59,rebalance,False,0.00248552
IS,XLB,2006-01-03,2007-07-02,9.673,13.5718,5431.7311,21111.31,rebalance,False,0.00053255
IS,XLF,2004-01-02,2008-01-02,14.6397,16.619,2905.2681,5711.29,rebalance,False,3.007e-05
IS,XLP,2007-07-02,2008-01-02,16.4324,17.4658,4478.3866,4563.46,rebalance,False,0.00168383
IS,XLU,2003-05-01,2008-01-02,4.5269,11.1209,7407.6526,48765.24,rebalance,False,0.00084102
IS,SHY,2008-01-02,2009-06-01,61.3092,65.11,3401.9832,12801.38,rebalance,False,0.00324848
IS,XLF,2009-06-01,2009-10-01,7.4527,9.0124,9889.3767,15328.7,rebalance,False,8.153e-05
IS,XLP,2009-10-01,2009-11-02,16.2688,16.5507,5468.0477,1467.03,rebalance,False,0.00084334
IS,XLI,2009-06-01,2009-12-01,16.6605,20.4574,4425.3825,16733.06,rebalance,False,0.000433
IS,XLF,2009-11-02,2010-01-04,8.5879,8.8389,10517.833,2540.05,rebalance,False,0.00012639
IS,XLI,2010-01-04,2010-06-01,20.7529,21.7284,4471.4307,4288.34,rebalance,False,0.00014548
IS,XLP,2009-12-01,2010-06-01,17.3004,17.0575,5224.6785,-1342.21,rebalance,False,0.00054404
IS,XLU,2009-06-01,2010-06-01,7.4576,8.2498,9882.7053,7736.11,rebalance,False,0.0005248
IS,SHY,2010-06-01,2010-10-01,66.4762,67.1267,4022.6854,2461.04,rebalance,False,0.00348926
IS,XLB,2010-10-01,2011-09-01,11.9647,13.0293,7511.5816,7905.76,rebalance,False,0.0001897
IS,XLP,2010-10-01,2011-09-01,18.3896,20.7992,4887.9322,11699.52,rebalance,False,0.00030754
IS,XLU,2010-10-01,2011-09-01,9.2499,10.3185,9715.0054,10278.69,rebalance,False,0.00030462
IS,SHY,2011-09-01,2012-01-03,67.9948,67.9877,4402.3262,-203.36,rebalance,False,0.00232951
IS,XLB,2012-01-03,2012-02-01,12.79,14.0003,7788.7606,9331.42,rebalance,False,0.00044361
IS,XLI,2012-02-01,2012-03-01,28.0694,28.6769,3878.7769,2280.08,rebalance,False,0.00032376
IS,XLB,2012-03-01,2012-10-01,13.892,14.037,7994.3449,1060.5,rebalance,False,0.00054236
IS,XLI,2012-10-01,2013-01-02,28.689,30.4735,3905.352,6887.86,rebalance,False,0.00043898
IS,XLB,2013-01-02,2014-10-01,14.6849,19.6243,8091.707,39844.69,rebalance,False,0.00081107
IS,XLE,2014-10-01,2015-09-01,28.9277,21.0057,5481.3172,-43510.98,rebalance,False,0.00011295
IS,XLP,2012-01-03,2015-09-01,22.3617,34.8218,4455.6693,55414.22,rebalance,False,0.00030591
IS,XLU,2012-01-03,2015-09-01,11.2362,14.867,8865.4403,32075.0,rebalance,False,0.00027134
IS,SHY,2015-09-01,2015-11-02,69.1207,69.1296,5809.5399,-178.92,rebalance,False,0.00175605
IS,XLE,2015-11-02,2016-01-04,22.1774,19.9094,6028.3948,-13764.82,rebalance,False,0.00011745
IS,XLP,2015-11-02,2016-01-04,37.722,37.9389,3544.5376,681.25,rebalance,False,0.00034685
IS,XLU,2015-11-02,2016-01-04,15.622,15.5344,8557.2959,-861.37,rebalance,False,0.0003854
IS,SHY,2016-01-04,2016-04-01,69.0105,69.4951,5606.6108,2492.34,rebalance,False,0.00242244
IS,XLP,2016-04-01,2016-07-01,40.4374,42.5361,3207.9323,6646.3,rebalance,False,0.00029806
IS,XLE,2016-04-01,2016-12-01,20.2716,25.5879,6398.2797,33897.96,rebalance,False,0.00018082
IS,XLP,2016-12-01,2017-03-01,39.0348,43.0251,4188.4744,16600.99,rebalance,False,0.00031869
IS,XLE,2017-03-01,2017-04-03,24.444,23.8977,7362.4425,-4149.53,rebalance,False,0.00021281
IS,XLP,2017-04-03,2017-05-01,42.8827,43.3535,4097.4175,1817.65,rebalance,False,0.00052871
IS,XLE,2017-05-01,2017-07-03,23.1501,22.3918,7662.8933,-5937.68,rebalance,False,0.00019944
IS,XLP,2017-07-03,2017-09-01,43.4664,43.3399,3942.1813,-605.68,rebalance,False,0.00045871
