ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
SPY,2005-01-05,2005-01-11,80.3376,80.2515,307,-26.44,2.8291,2.8281,5.6572,False,4,RSI_EXIT,True,True,True,IS
XLU,2005-01-04,2005-01-11,6.6275,6.5136,3777,-430.51,33.557,33.3436,66.9007,False,5,RSI_EXIT,True,True,True,IS
XLB,2005-01-04,2005-01-11,9.2528,9.0531,2703,-539.76,27.8431,27.5653,55.4085,False,5,RSI_EXIT,True,True,True,IS
XLI,2005-01-04,2005-01-12,20.5993,20.0796,1214,-630.93,19.7952,19.4702,39.2653,False,6,MAX_HOLD,True,True,True,IS
XLK,2005-01-12,2005-01-19,7.7685,7.8223,3169,170.38,30.0967,30.2304,60.3271,False,4,RSI_EXIT,True,True,True,IS
XLF,2005-01-14,2005-01-19,15.7475,16.0382,1560,453.52,21.4433,21.7194,43.1627,False,2,RSI_EXIT,True,True,True,IS
QQQ,2005-01-25,2005-01-27,31.3338,31.593,790,204.8,5.2858,5.2974,10.5832,False,2,RSI_EXIT,True,True,False,IS
XLK,2005-01-25,2005-01-27,7.5155,7.5427,3296,89.73,30.8588,30.9469,61.8057,False,2,RSI_EXIT,True,True,False,IS
XLV,2005-01-25,2005-01-27,20.5342,20.6411,1205,128.9,19.6008,19.6931,39.2939,False,2,RSI_EXIT,True,True,False,IS
XLY,2005-01-25,2005-02-01,12.9353,12.9956,1914,115.32,23.4678,23.1604,46.6282,False,5,RSI_EXIT,True,True,True,IS
QQQ,2005-02-23,2005-02-25,31.5638,31.8401,786,217.2,5.237,5.2504,10.4874,False,2,RSI_EXIT,True,True,False,IS
IWM,2005-02-23,2005-02-25,46.4502,46.9315,534,257.01,4.0414,4.0611,8.1025,False,2,RSI_EXIT,True,True,False,IS
XLK,2005-02-23,2005-02-25,7.565,7.6158,3285,166.83,29.8059,29.9184,59.7243,False,2,RSI_EXIT,True,True,False,IS
XLF,2005-02-22,2005-02-28,15.7203,15.8533,1584,210.69,20.6817,20.7886,41.4704,False,4,RSI_EXIT,True,True,True,IS
XLE,2005-03-11,2005-03-18,11.5907,12.0299,2167,951.74,23.8702,24.3247,48.1949,False,5,RSI_EXIT,True,True,True,IS
XLV,2005-03-17,2005-03-24,20.7573,20.9569,1213,242.11,19.4877,19.588,39.0757,False,5,RSI_EXIT,True,True,True,IS
XLB,2005-03-17,2005-03-28,9.6456,9.5797,2612,-172.28,26.5187,26.2872,52.8059,False,6,MAX_HOLD,True,True,True,IS
