ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLB,2005-01-05,2005-01-11,9.0106,9.0532,2221,94.69,22.4323,22.5114,44.9437,False,4,RSI_EXIT,True,True,True,IS
QQQ,2005-01-05,2005-01-13,32.9611,32.8624,606,-59.84,4.098,4.0953,8.1933,False,6,RSI_EXIT,True,True,True,IS
IWM,2005-01-05,2005-01-13,46.9992,45.9876,425,-429.94,3.1818,3.1594,6.3412,False,6,MAX_HOLD,True,True,True,IS
XLK,2005-01-05,2005-01-13,7.8835,7.7879,2539,-242.68,24.1156,24.0045,48.1201,False,6,MAX_HOLD,True,True,True,IS
XLI,2005-01-05,2005-01-13,20.2452,20.1798,988,-64.61,15.8217,15.8037,31.6254,False,6,MAX_HOLD,True,True,True,IS
XLF,2005-01-14,2005-01-19,15.7474,16.0383,1262,367.12,17.2355,17.4566,34.6922,False,2,RSI_EXIT,True,True,True,IS
IWM,2005-02-23,2005-02-25,46.4502,46.9315,429,206.49,3.2358,3.2511,6.4869,False,2,RSI_EXIT,True,True,False,IS
XLF,2005-02-23,2005-02-28,15.5875,15.8533,1279,339.93,16.5876,16.761,33.3486,False,3,RSI_EXIT,True,True,True,IS
SPY,2005-03-23,2005-03-31,79.4373,80.2612,250,205.98,2.2697,2.2811,4.5507,False,5,RSI_EXIT,True,True,True,IS
XLK,2005-03-23,2005-03-31,7.3273,7.4742,2723,399.93,24.2279,24.4638,48.6917,False,5,RSI_EXIT,True,True,True,IS
XLF,2005-03-22,2005-03-31,15.4036,15.2446,1302,-206.98,16.712,16.6208,33.3328,False,6,RSI_EXIT,True,True,True,IS
XLB,2005-03-29,2005-04-01,9.4767,9.4567,2111,-42.21,21.0903,21.1184,42.2087,False,3,RSI_EXIT,True,True,False,IS
XLB,2005-04-14,2005-04-15,9.158,8.6811,2198,-1048.13,21.6397,21.1159,42.7555,False,1,STOP_LOSS,True,True,False,IS
