z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
30,0.75,0.55,2,150,0.4896,0.0576,-0.2573,1.451,659,658,0.5645,1.2707,17.1,1.3922
30,0.75,0.55,2,200,0.473,0.0558,-0.2643,1.3833,647,646,0.5734,1.2559,16.69,1.0647
30,0.75,0.55,3,150,0.5884,0.0713,-0.2054,2.0101,551,550,0.5862,1.3468,23.9,1.4214
30,0.75,0.55,3,200,0.54,0.0654,-0.2858,1.7545,540,539,0.587,1.307,22.46,1.0489
30,0.75,0.55,5,150,0.5722,0.0691,-0.2264,1.9134,428,427,0.5724,1.3803,29.64,1.4214
30,0.75,0.55,5,200,0.6412,0.0797,-0.2082,2.4095,428,427,0.5864,1.4353,33.06,1.1657
30,0.75,0.6,2,150,0.4919,0.058,-0.256,1.4647,659,658,0.563,1.2735,17.27,1.4788
30,0.75,0.6,2,200,0.4739,0.056,-0.2637,1.3904,647,646,0.5703,1.2582,16.82,1.1566
30,0.75,0.6,3,150,0.5876,0.0713,-0.2041,2.009,551,550,0.5844,1.3478,23.97,1.5083
30,0.75,0.6,3,200,0.5379,0.0652,-0.2847,1.7457,540,539,0.5833,1.3074,22.49,1.1416
30,0.75,0.6,5,150,0.5739,0.0694,-0.2238,1.9267,428,427,0.5701,1.3823,29.85,1.5104
30,0.75,0.6,5,200,0.6448,0.0803,-0.2068,2.4406,428,427,0.5818,1.4392,33.37,1.2585
30,0.75,0.65,2,150,0.4938,0.0584,-0.2546,1.478,659,658,0.5645,1.2761,17.44,1.5659
30,0.75,0.65,2,200,0.4745,0.0562,-0.2632,1.3971,647,646,0.5703,1.2603,16.96,1.2491
30,0.75,0.65,3,150,0.5865,0.0713,-0.2074,2.0074,551,550,0.588,1.3482,24.05,1.5958
30,0.75,0.65,3,200,0.5355,0.0649,-0.2837,1.7365,540,539,0.587,1.3074,22.52,1.2348
30,0.75,0.65,5,150,0.5753,0.0697,-0.2212,1.9395,428,427,0.5701,1.3838,30.05,1.6001
30,0.75,0.65,5,200,0.6481,0.0809,-0.2053,2.4713,428,427,0.5818,1.4427,33.68,1.3518
30,0.75,0.7,2,150,0.4955,0.0587,-0.2534,1.4911,659,658,0.566,1.2784,17.61,1.6535
30,0.75,0.7,2,200,0.4748,0.0563,-0.2626,1.4034,647,646,0.5688,1.2622,17.09,1.3419
30,0.75,0.7,3,150,0.5851,0.0712,-0.2107,2.0053,551,550,0.5862,1.3483,24.13,1.6838
30,0.75,0.7,3,200,0.5329,0.0647,-0.2827,1.7269,540,539,0.587,1.3072,22.55,1.3285
30,0.75,0.7,5,150,0.5764,0.07,-0.219,1.9518,428,427,0.5724,1.3852,30.25,1.6902
30,0.75,0.7,5,200,0.651,0.0815,-0.2038,2.5018,428,427,0.5841,1.4462,34.0,1.4457
30,1.0,0.55,2,150,0.4513,0.0527,-0.2582,1.2741,654,653,0.552,1.2466,16.2,1.4002
30,1.0,0.55,2,200,0.4333,0.0504,-0.2663,1.1965,637,636,0.5604,1.2323,15.76,1.0778
30,1.0,0.55,3,150,0.4895,0.0582,-0.2768,1.47,554,553,0.5866,1.287,20.27,1.461
30,1.0,0.55,3,200,0.4654,0.0553,-0.3053,1.3651,543,542,0.5856,1.2608,19.62,1.0915
30,1.0,0.55,5,150,0.5847,0.0716,-0.2295,2.0245,442,441,0.5701,1.3826,29.81,1.3477
30,1.0,0.55,5,200,0.6449,0.0812,-0.2087,2.4866,439,438,0.5786,1.43,32.99,1.1082
30,1.0,0.6,2,150,0.4511,0.0527,-0.2578,1.2751,654,653,0.5505,1.248,16.29,1.4847
30,1.0,0.6,2,200,0.4314,0.0502,-0.2678,1.1897,637,636,0.5589,1.2329,15.8,1.1675
30,1.0,0.6,3,150,0.4872,0.0579,-0.2784,1.4605,554,553,0.5866,1.287,20.28,1.5454
30,1.0,0.6,3,200,0.4619,0.0549,-0.3074,1.3501,543,542,0.5838,1.2603,19.59,1.1814
30,1.0,0.6,5,150,0.589,0.0723,-0.2281,2.0534,442,441,0.5701,1.387,30.11,1.4374
30,1.0,0.6,5,200,0.6504,0.0821,-0.2076,2.5323,439,438,0.5763,1.436,33.37,1.2014
30,1.0,0.65,2,150,0.4507,0.0527,-0.2573,1.2758,654,653,0.5535,1.2493,16.38,1.5696
30,1.0,0.65,2,200,0.4292,0.05,-0.2692,1.1827,637,636,0.5604,1.2333,15.84,1.2577
30,1.0,0.65,3,150,0.4848,0.0576,-0.28,1.4508,554,553,0.5866,1.2867,20.3,1.6304
30,1.0,0.65,3,200,0.4582,0.0544,-0.3096,1.3348,543,542,0.5838,1.2597,19.57,1.272
30,1.0,0.65,5,150,0.5929,0.0729,-0.2267,2.082,442,441,0.5724,1.3909,30.4,1.5277
30,1.0,0.65,5,200,0.6556,0.083,-0.2066,2.5781,439,438,0.5786,1.4417,33.75,1.2953
30,1.0,0.7,2,150,0.4501,0.0528,-0.2569,1.2761,654,653,0.555,1.2504,16.47,1.655
30,1.0,0.7,2,200,0.4269,0.0498,-0.2707,1.1753,637,636,0.562,1.2336,15.88,1.3483
30,1.0,0.7,3,150,0.4821,0.0574,-0.2816,1.4407,554,553,0.5866,1.2864,20.31,1.7158
30,1.0,0.7,3,200,0.4544,0.054,-0.3118,1.3194,543,542,0.5838,1.259,19.54,1.3629
30,1.0,0.7,5,150,0.5966,0.0735,-0.2253,2.1105,442,441,0.5769,1.3946,30.69,1.6185
30,1.0,0.7,5,200,0.6605,0.0838,-0.2056,2.6239,439,438,0.5831,1.4472,34.12,1.3897
30,1.25,0.55,2,150,0.4688,0.0551,-0.255,1.3584,590,589,0.5814,1.2758,18.35,1.5631
30,1.25,0.55,2,200,0.4086,0.0469,-0.2898,1.0821,572,571,0.5769,1.2321,16.36,1.1876
30,1.25,0.55,3,150,0.5827,0.0704,-0.2161,1.9715,520,519,0.5865,1.3727,24.87,1.5503
30,1.25,0.55,3,200,0.5573,0.0676,-0.25,1.8488,503,502,0.5765,1.349,24.42,1.1435
30,1.25,0.55,5,150,0.5848,0.0713,-0.2296,2.0091,425,424,0.5953,1.4029,30.48,1.4303
30,1.25,0.55,5,200,0.6298,0.0784,-0.2139,2.3452,424,423,0.5967,1.4332,32.73,1.1098
30,1.25,0.6,2,150,0.4671,0.0549,-0.254,1.3509,590,589,0.5814,1.2761,18.37,1.6441
30,1.25,0.6,2,200,0.4052,0.0465,-0.2895,1.0685,572,571,0.5769,1.2316,16.34,1.2748
30,1.25,0.6,3,150,0.582,0.0704,-0.2178,1.9686,520,519,0.5865,1.3739,24.93,1.632
30,1.25,0.6,3,200,0.555,0.0673,-0.2496,1.8367,503,502,0.5765,1.3492,24.42,1.2317
30,1.25,0.6,5,150,0.5899,0.0721,-0.2283,2.0438,425,424,0.5976,1.4082,30.85,1.5155
30,1.25,0.6,5,200,0.6334,0.079,-0.2131,2.3749,424,423,0.5967,1.4376,33.03,1.2001
30,1.25,0.65,2,150,0.4652,0.0547,-0.2531,1.3433,590,589,0.5831,1.2764,18.4,1.7255
30,1.25,0.65,2,200,0.4018,0.046,-0.2891,1.0548,572,571,0.5787,1.231,16.31,1.3625
30,1.25,0.65,3,150,0.581,0.0703,-0.2196,1.9653,520,519,0.5904,1.3749,24.98,1.7143
