date_entry,date_exit,state,spy_w,iwm_w,shy_w,nav_entry,nav_exit,pnl_pct,pnl_dollar,hold_days,exit_reason,cost_bps
2005-01-04,2005-01-10,neutral,0.5,0.5,0.0,99986.1956,96736.4234,-0.032502,-3249.7722,4,state_change,1.3804
2005-01-10,2005-01-18,iwm_heavy,0.4,0.6,0.0,96733.5455,96924.1937,0.001971,190.6482,5,state_change,0.2975
2005-01-18,2005-01-25,neutral,0.5,0.5,0.0,96921.4739,95884.2585,-0.010702,-1037.2154,5,state_change,0.2806
2005-01-25,2005-01-28,iwm_heavy,0.4,0.6,0.0,95881.586,97088.0033,0.012582,1206.4173,3,state_change,0.2787
2005-01-28,2005-02-11,neutral,0.5,0.5,0.0,97085.2537,98529.8843,0.01488,1444.6306,10,state_change,0.2832
2005-02-11,2005-02-16,iwm_heavy,0.4,0.6,0.0,98527.1471,99762.0811,0.012534,1234.934,3,state_change,0.2778
2005-02-16,2005-02-23,neutral,0.5,0.5,0.0,99759.3646,97782.1066,-0.01982,-1977.258,4,state_change,0.2723
2005-02-23,2005-02-28,iwm_heavy,0.4,0.6,0.0,97779.3818,100134.4218,0.024085,2355.04,3,state_change,0.2787
2005-02-28,2005-03-11,neutral,0.5,0.5,0.0,100131.6574,99665.1544,-0.004659,-466.503,9,state_change,0.2761
2005-03-11,2005-03-16,iwm_heavy,0.4,0.6,0.0,99662.3714,98747.4656,-0.00918,-914.9058,3,state_change,0.2792
2005-03-16,2005-03-30,neutral,0.5,0.5,0.0,98744.7313,96285.9684,-0.0249,-2458.7629,9,state_change,0.2769
2005-03-30,2005-04-04,iwm_heavy,0.4,0.6,0.0,96283.249,96901.064,0.006417,617.815,3,state_change,0.2824
2005-04-04,2005-04-07,neutral,0.5,0.5,0.0,96898.3861,97627.1193,0.007521,728.7332,3,state_change,0.2763
2005-04-07,2005-04-18,iwm_heavy,0.4,0.6,0.0,97624.4313,92968.6885,-0.04769,-4655.7428,7,state_change,0.2753
2005-04-18,2005-04-22,shy,0.0,0.0,1.0,92899.3105,92876.3851,-0.000247,-22.9254,4,state_change,7.4625
2005-04-22,2005-04-29,iwm_heavy,0.4,0.6,0.0,92807.0539,90741.1838,-0.02226,-2065.8701,5,state_change,7.4649
2005-04-29,2005-05-04,shy,0.0,0.0,1.0,90673.2571,90695.8182,0.000249,22.5611,3,state_change,7.4858
2005-05-04,2005-05-10,iwm_heavy,0.4,0.6,0.0,90627.9889,91957.9406,0.014675,1329.9517,4,state_change,7.4788
2005-05-10,2005-05-13,neutral,0.5,0.5,0.0,91955.2871,90710.3283,-0.013539,-1244.9588,3,state_change,0.2886
2005-05-13,2005-05-19,iwm_heavy,0.4,0.6,0.0,90707.7217,93375.187,0.029407,2667.4653,4,state_change,0.2874
2005-05-19,2005-05-26,neutral,0.5,0.5,0.0,93372.5544,93744.0921,0.003979,371.5377,5,state_change,0.2819
2005-05-26,2005-06-01,iwm_heavy,0.4,0.6,0.0,93741.4907,94395.5419,0.006977,654.0512,3,state_change,0.2775
2005-06-01,2005-06-13,neutral,0.5,0.5,0.0,94392.8707,95274.3198,0.009338,881.4491,8,state_change,0.283
2005-06-13,2005-08-05,spy_heavy,0.6,0.4,0.0,95271.6665,100023.319,0.049875,4751.6525,38,state_change,0.2785
2005-08-05,2005-09-22,neutral,0.5,0.5,0.0,100020.9477,97651.0725,-0.023694,-2369.8752,33,state_change,0.2371
2005-09-22,2005-09-27,iwm_heavy,0.4,0.6,0.0,97648.3673,98784.1212,0.011631,1135.7539,3,state_change,0.277
2005-09-27,2005-10-07,neutral,0.5,0.5,0.0,98781.4391,96895.8249,-0.019089,-1885.6142,8,state_change,0.2715
2005-10-07,2005-10-20,shy,0.0,0.0,1.0,96824.9176,96836.9719,0.000124,12.0543,9,state_change,7.3179
2005-10-20,2005-10-25,iwm_heavy,0.4,0.6,0.0,96765.4988,97582.3814,0.008442,816.8826,3,state_change,7.3808
2005-10-25,2005-10-28,neutral,0.5,0.5,0.0,97579.6956,95708.9614,-0.019171,-1870.7342,3,state_change,0.2752
2005-10-28,2005-11-02,shy,0.0,0.0,1.0,95638.6647,95581.595,-0.000597,-57.0697,3,state_change,7.3448
2005-11-02,2005-11-16,neutral,0.5,0.5,0.0,95511.5098,97838.3628,0.024362,2326.853,10,state_change,7.3325
