seasonal_lookback_years,top_k_etfs,use_regime_filter,bond_gold_exempt,sharpe,cagr,max_drawdown,win_rate,trade_count,position_switches,total_return,avg_ppt_bps
5,2,True,True,0.3384,0.0393,-0.4065,0.5613,367,367,1.2464,38.4
5,2,True,False,0.3408,0.0374,-0.4646,0.5545,321,321,1.1637,40.51
5,2,False,True,0.3724,0.0546,-0.5737,0.5632,380,380,2.0511,57.92
5,2,False,False,0.3724,0.0546,-0.5737,0.5632,380,380,2.0511,57.92
5,3,True,True,0.3941,0.0433,-0.3439,0.5624,489,489,1.4343,31.41
5,3,True,False,0.3813,0.0394,-0.3982,0.5407,442,442,1.2532,30.38
5,3,False,True,0.36,0.0501,-0.5533,0.5543,516,516,1.7889,36.18
5,3,False,False,0.36,0.0501,-0.5533,0.5543,516,516,1.7889,36.18
5,4,True,True,0.5002,0.0544,-0.2461,0.5651,545,545,2.0401,38.27
5,4,True,False,0.4522,0.0454,-0.2715,0.5511,519,519,1.5392,30.65
5,4,False,True,0.4252,0.0586,-0.5138,0.5619,614,614,2.3054,38.18
5,4,False,False,0.4252,0.0586,-0.5138,0.5619,614,614,2.3054,38.18
10,2,True,True,0.461,0.057,-0.3269,0.566,371,371,2.1997,59.61
10,2,True,False,0.4792,0.0557,-0.4033,0.5653,329,329,2.1183,63.99
10,2,False,True,0.4386,0.0679,-0.5322,0.5751,386,386,2.9708,75.05
10,2,False,False,0.4386,0.0679,-0.5322,0.5751,386,386,2.9708,75.05
10,3,True,True,0.429,0.0474,-0.3027,0.5689,501,501,1.6431,33.27
10,3,True,False,0.4246,0.0443,-0.2741,0.5587,460,460,1.4849,32.71
10,3,False,True,0.4365,0.0616,-0.4592,0.5764,543,543,2.5075,45.9
10,3,False,False,0.4365,0.0616,-0.4592,0.5764,543,543,2.5075,45.9
10,4,True,True,0.5161,0.056,-0.2792,0.5707,552,552,2.1403,38.24
10,4,True,False,0.461,0.0461,-0.2597,0.5583,532,532,1.5744,29.53
10,4,False,True,0.473,0.0637,-0.4212,0.5728,618,618,2.6597,39.76
10,4,False,False,0.473,0.0637,-0.4212,0.5728,618,618,2.6597,39.76
15,2,True,True,0.4643,0.0571,-0.3584,0.5734,361,361,2.2098,61.64
15,2,True,False,0.4532,0.0516,-0.4349,0.5679,324,324,1.8757,58.23
15,2,False,True,0.4608,0.0706,-0.5324,0.5748,381,381,3.1863,81.9
15,2,False,False,0.4608,0.0706,-0.5324,0.5748,381,381,3.1863,81.9
15,3,True,True,0.4767,0.0525,-0.2997,0.5781,474,474,1.9298,40.89
15,3,True,False,0.4702,0.0486,-0.2817,0.5668,434,434,1.7108,39.6
15,3,False,True,0.467,0.0639,-0.4357,0.5843,510,510,2.674,51.91
15,3,False,False,0.467,0.0639,-0.4357,0.5843,510,510,2.674,51.91
15,4,True,True,0.5331,0.0573,-0.257,0.5815,509,509,2.2204,43.55
15,4,True,False,0.4785,0.0473,-0.2697,0.5772,492,492,1.6377,33.63
15,4,False,True,0.4527,0.059,-0.4316,0.5886,581,581,2.3302,39.21
15,4,False,False,0.4527,0.059,-0.4316,0.5886,581,581,2.3302,39.21
