period,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,exit_reason,liquidity_constrained,q_over_adv
IS,SHY,2003-01-02,2003-05-01,52.469,52.9369,1904.7297,830.33,rebalance,True,0.0135858
IS,IWM,2003-05-01,2003-06-02,29.32,32.7315,1145.3518,3899.03,rebalance,False,0.00033464
IS,XLV,2003-05-01,2003-06-02,18.9232,19.4154,1773.4884,842.43,rebalance,True,0.01325477
IS,XLE,2003-05-01,2003-07-01,5.9274,6.3749,5658.8089,2482.6,rebalance,False,0.00884742
IS,XLP,2003-06-02,2003-07-01,11.3106,11.255,3174.4697,-214.01,rebalance,True,0.01688997
IS,IWM,2003-07-01,2003-08-01,32.8074,35.0017,1092.7392,2389.63,rebalance,False,0.00026123
IS,QQQ,2003-07-01,2003-08-01,25.0538,26.7325,1430.8738,2392.66,rebalance,False,1.727e-05
IS,SPY,2003-06-02,2003-09-02,63.7937,66.7221,563.3303,1644.88,rebalance,False,1.57e-05
IS,XLP,2003-08-01,2003-09-02,11.2269,11.4969,3402.5216,879.05,rebalance,True,0.01665209
IS,XLV,2003-08-01,2003-09-02,19.7111,19.0735,1938.3733,-1268.38,rebalance,True,0.01821009
IS,IWM,2003-09-02,2003-10-01,36.8488,36.054,1027.4125,-824.25,rebalance,False,0.00016024
IS,QQQ,2003-09-02,2003-10-01,28.2509,27.5085,1340.0557,-1003.58,rebalance,False,1.452e-05
IS,SPY,2003-10-01,2003-11-03,66.0557,69.6867,559.2195,2025.67,rebalance,False,1.621e-05
IS,XLE,2003-09-02,2003-11-03,6.567,6.5223,5758.5074,-307.95,rebalance,False,0.00982731
IS,XLP,2003-10-01,2003-12-01,11.4798,12.0837,3214.9176,1902.29,rebalance,True,0.02442111
IS,XLV,2003-11-03,2003-12-01,19.3569,19.8382,1973.6612,916.48,rebalance,False,0.00910255
IS,QQQ,2003-11-03,2004-01-02,29.8874,30.937,1279.0755,1334.05,rebalance,False,1.658e-05
