leg,ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,cost,liquidity_constrained,hold_days,exit_reason,period,trade_id
IBS,SPY,2018-01-16,2018-01-17,244.5742,246.6452,51,105.62,13.215,False,1,IBS_TP,IS,1
IBS,SPY,2018-01-29,2018-02-01,251.3824,248.3845,50,-149.89,13.0879,False,3,ATR_STOP,IS,2
IBS,SPY,2018-02-02,2018-02-05,243.2305,232.815,51,-531.19,12.6655,False,1,ATR_STOP,IS,3
IBS,SPY,2018-02-07,2018-02-08,236.3608,227.2575,50,-455.16,12.1102,False,1,ATR_STOP,IS,4
IBS,SPY,2018-02-21,2018-02-23,238.4623,242.3242,48,185.37,12.0404,False,2,IBS_TP,IS,5
IBS,SPY,2018-02-27,2018-03-01,242.3299,236.1405,48,-297.09,11.9852,False,2,ATR_STOP,IS,6
IBS,SPY,2018-03-12,2018-03-15,245.9414,242.5801,46,-154.62,11.71,False,3,TIME_STOP,IS,7
IBS,SPY,2018-03-16,2018-03-21,243.0964,239.5042,46,-165.24,11.5733,False,3,TIME_STOP,IS,8
IBS,SPY,2018-03-22,2018-03-23,233.7612,228.5397,47,-245.41,11.35,False,1,ATR_STOP,IS,9
IBS,SPY,2018-03-27,2018-04-02,231.0394,228.026,46,-138.62,11.0363,False,3,TIME_STOP,IS,10
IBS,SPY,2018-04-06,2018-04-11,230.2593,233.5968,46,153.52,11.1481,False,3,TIME_STOP,IS,11
IBS,SPY,2018-04-30,2018-05-01,234.5058,234.6773,46,7.89,11.2661,False,1,IBS_TP,IS,12
IBS,SPY,2018-05-02,2018-05-03,233.3444,232.5872,46,-34.83,11.1906,False,1,IBS_TP,IS,13
IBS,SPY,2018-05-22,2018-05-23,241.6868,242.0992,44,18.14,11.0932,False,1,IBS_TP,IS,14
IBS,SPY,2018-06-11,2018-06-14,246.9618,246.8553,43,-4.58,11.057,False,3,TIME_STOP,IS,15
IBS,SPY,2018-06-21,2018-06-25,244.2236,241.0868,44,-138.02,11.1269,False,2,ATR_STOP,IS,16
IBS,SPY,2018-06-27,2018-07-02,239.8689,241.852,44,87.25,11.0463,False,3,IBS_TP,IS,17
IBS,SPY,2018-07-03,2018-07-05,241.2492,242.964,44,75.45,11.1007,False,1,IBS_TP,IS,18
IBS,SPY,2018-07-11,2018-07-12,246.5567,248.5331,43,84.99,11.0844,False,1,IBS_TP,IS,19
IBS,SPY,2018-07-20,2018-07-23,249.068,249.2715,43,8.75,11.1547,False,1,IBS_TP,IS,20
IBS,SPY,2018-07-26,2018-07-30,252.3274,249.0491,43,-140.96,11.2188,False,2,ATR_STOP,IS,21
IBS,SPY,2018-08-09,2018-08-13,253.8679,250.9619,42,-122.05,11.029,False,2,ATR_STOP,IS,22
IBS,SPY,2018-08-23,2018-08-24,254.5092,255.7748,41,51.89,10.8789,False,1,IBS_TP,IS,23
IBS,SPY,2018-09-10,2018-09-11,256.5664,257.1448,41,23.72,10.9485,False,1,IBS_TP,IS,24
IBS,SPY,2018-09-17,2018-09-20,257.6706,261.1749,41,143.68,11.0531,False,3,IBS_TP,IS,25
IBS,SPY,2018-09-21,2018-09-26,261.2075,259.0507,41,-88.43,11.0819,False,3,TIME_STOP,IS,26
IBS,SPY,2018-10-03,2018-10-05,260.966,257.2098,41,-154.0,11.0388,False,2,ATR_STOP,IS,27
IBS,SPY,2018-10-10,2018-10-11,248.961,243.2239,42,-240.96,10.7684,False,1,ATR_STOP,IS,28
IBS,SPY,2018-10-15,2018-10-16,245.4723,250.5786,42,214.46,10.8513,False,1,IBS_TP,IS,29
IBS,SPY,2018-10-19,2018-10-23,247.1272,244.5106,42,-109.9,10.7587,False,2,IBS_TP,IS,30
IBS,SPY,2019-02-25,2019-02-27,251.5126,250.9634,41,-22.52,10.7201,False,2,IBS_TP,IS,31
IBS,SPY,2019-03-06,2019-03-08,249.542,246.7027,41,-116.41,10.591,False,2,IBS_TP,IS,32
IBS,SPY,2019-03-22,2019-03-27,252.3764,252.475,41,4.05,10.7704,False,3,TIME_STOP,IS,33
IBS,SPY,2019-04-17,2019-04-18,261.5947,261.8375,39,9.47,10.6072,False,1,IBS_TP,IS,34
IBS,SPY,2019-04-24,2019-04-26,264.107,264.8982,39,30.86,10.7128,False,2,IBS_TP,IS,35
IBS,SPY,2019-05-01,2019-05-03,263.7274,265.4579,39,67.49,10.716,False,2,IBS_TP,IS,36
IBS,SPY,2019-05-17,2019-05-22,258.3322,257.874,40,-18.32,10.737,False,3,TIME_STOP,IS,37
IBS,SPY,2019-05-28,2019-05-31,253.1899,248.5206,41,-191.44,10.7085,False,3,TIME_STOP,IS,38
IBS,SPY,2019-06-10,2019-06-13,261.1609,261.4403,39,10.9,10.5951,False,3,TIME_STOP,IS,39
IBS,SPY,2019-06-17,2019-06-20,261.5224,267.1101,39,217.92,10.7114,False,3,IBS_TP,IS,40
IBS,SPY,2019-06-21,2019-06-26,266.999,263.5193,39,-135.71,10.747,False,3,TIME_STOP,IS,41
IBS,SPY,2019-07-16,2019-07-18,272.2479,271.1037,38,-43.48,10.7124,False,2,IBS_TP,IS,42
IBS,SPY,2019-07-19,2019-07-23,269.8777,272.1926,38,87.96,10.6883,False,2,IBS_TP,IS,43
