entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2008-01-14,2008-01-18,101.2218,94.5088,247,-1658.11,14.1215,13.2806,27.4021,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,1
2008-01-30,2008-02-05,96.6568,95.9917,241,-160.29,12.867,12.8107,25.6777,False,4,TOM,CALENDAR,IS,2
2008-02-11,2008-02-15,95.8257,96.7145,242,215.09,12.8306,12.9486,25.7792,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,3
2008-02-28,2008-03-05,98.0609,95.777,238,-543.57,12.8802,12.6147,25.4949,False,4,TOM,CALENDAR,IS,4
2008-03-28,2008-04-03,94.6874,98.5599,241,933.25,12.6471,13.1312,25.7783,False,4,TOM,CALENDAR,IS,5
2008-04-14,2008-04-17,95.7098,98.5671,248,708.61,13.1425,13.5054,26.6479,False,3,OEX,CALENDAR,IS,6
2008-04-29,2008-05-05,100.1375,101.2859,244,280.21,13.4549,13.6128,27.0676,False,4,TOM,CALENDAR,IS,7
2008-05-12,2008-05-15,101.1311,102.5086,245,337.49,13.636,13.8147,27.4506,False,3,OEX,CALENDAR,IS,8
2008-05-22,2008-05-23,100.4471,98.9915,250,-363.9,13.827,13.6592,27.4862,False,1,PRE_HOLIDAY,CALENDAR,IS,9
2008-05-29,2008-06-04,100.7999,99.2648,245,-376.09,13.5943,13.4154,27.0098,False,4,TOM,CALENDAR,IS,10
2008-06-16,2008-06-19,98.0856,96.6756,248,-349.7,13.4258,13.2621,26.6879,False,3,"OEX,PRE_HOLIDAY",CALENDAR,IS,11
2008-06-27,2008-07-03,92.2812,91.2969,260,-255.91,13.3189,13.2015,26.5204,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,12
2008-07-30,2008-08-05,93.0048,92.7787,255,-57.65,13.1564,13.1426,26.299,False,4,TOM,CALENDAR,IS,13
2008-08-11,2008-08-14,94.5821,93.6316,250,-237.63,13.0988,12.992,26.0908,False,3,OEX,CALENDAR,IS,14
2008-08-28,2008-09-04,94.2059,89.6488,249,-1134.72,12.999,12.4432,25.4422,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,15
2009-05-21,2009-05-22,65.9234,65.707,339,-73.36,12.9034,12.8794,25.7828,False,1,PRE_HOLIDAY,CALENDAR,IS,16
2009-06-17,2009-06-18,67.6524,68.0692,329,137.11,12.8018,12.8837,25.6854,False,1,PRE_HOLIDAY,CALENDAR,IS,17
2009-06-29,2009-07-06,68.8891,66.6572,325,-725.36,12.8445,12.4969,25.3415,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,18
2009-07-13,2009-07-16,66.957,69.1144,323,696.83,12.4615,12.8253,25.2869,False,3,OEX,CALENDAR,IS,19
2009-07-30,2009-08-05,73.3253,74.5335,305,368.5,12.7374,12.9257,25.6632,False,4,TOM,CALENDAR,IS,20
2009-08-17,2009-08-20,73.0578,74.964,311,592.83,12.9393,13.2481,26.1874,False,3,OEX,CALENDAR,IS,21
2009-08-28,2009-09-04,76.8252,75.7583,303,-323.26,13.1778,13.0321,26.2099,False,5,"PRE_HOLIDAY,TOM",CALENDAR,IS,22
2009-09-14,2009-09-17,78.2371,79.5443,294,384.32,12.9961,13.1968,26.1929,False,3,OEX,CALENDAR,IS,23
2009-09-29,2009-10-05,79.1473,77.5811,295,-462.02,13.1719,12.9541,26.126,False,4,TOM,CALENDAR,IS,24
2009-10-12,2009-10-15,80.4016,81.8252,285,405.72,12.9049,13.1223,26.0272,False,3,OEX,CALENDAR,IS,25
2009-10-29,2009-11-04,79.6326,78.2524,293,-404.39,13.1557,12.9681,26.1238,False,4,TOM,CALENDAR,IS,26
2009-11-16,2009-11-19,83.0372,81.9072,276,-311.89,12.8678,12.7246,25.5923,False,3,OEX,CALENDAR,IS,27
2009-11-24,2009-11-25,82.873,83.0708,273,54.0,12.706,12.7438,25.4498,False,1,PRE_HOLIDAY,CALENDAR,IS,28
2009-11-27,2009-12-03,81.8127,82.3249,277,141.87,12.7434,12.824,25.5674,False,4,TOM,CALENDAR,IS,29
2009-12-14,2009-12-17,83.5299,82.1758,273,-369.69,12.7855,12.613,25.3985,False,3,OEX,CALENDAR,IS,30
2009-12-23,2009-12-24,84.0397,84.343,267,80.98,12.5709,12.6245,25.1954,False,1,PRE_HOLIDAY,CALENDAR,IS,31
