entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,regime_active,period
2007-01-11,2007-01-12,100.0069,100.6527,250,161.44,14.1389,14.2368,28.3757,False,1,PRE_HOLIDAY,CALENDAR,True,IS
2007-01-30,2007-02-05,100.4501,101.7857,250,333.89,14.196,14.004,28.2,False,4,TOM,CALENDAR,True,IS
2007-02-15,2007-02-16,102.5659,102.4041,248,-40.14,13.9771,13.9712,27.9483,False,1,PRE_HOLIDAY,CALENDAR,True,IS
2007-02-27,2007-03-05,98.1344,96.5151,259,-419.41,14.0431,13.8428,27.8859,False,4,TOM,CALENDAR,True,IS
2007-03-29,2007-04-04,100.2679,101.4838,249,302.76,13.753,13.9144,27.6674,False,4,TOM,CALENDAR,True,IS
2007-04-27,2007-05-03,105.6069,106.0698,240,111.08,13.8833,13.954,27.8372,False,4,TOM,CALENDAR,True,IS
2007-05-24,2007-05-25,106.6874,107.0151,238,78.0,13.8986,13.9519,27.8504,False,1,PRE_HOLIDAY,CALENDAR,True,IS
2007-05-30,2007-06-05,108.3965,108.2851,235,-26.19,13.924,13.9245,27.8485,False,4,TOM,CALENDAR,True,IS
2007-06-15,2007-06-18,108.5729,108.3266,235,-57.89,13.9528,13.9372,27.89,False,1,PRE_HOLIDAY,CALENDAR,True,IS
2007-06-28,2007-07-05,106.665,107.8235,238,275.73,13.9051,14.057,27.962,False,4,"PRE_HOLIDAY,TOM",CALENDAR,True,IS
2007-07-30,2007-08-03,104.5372,101.8858,246,-652.24,14.1134,13.7999,27.9133,False,4,TOM,CALENDAR,True,IS
2007-08-30,2007-09-06,103.6648,104.9538,241,310.65,13.7255,13.8926,27.6181,False,4,"PRE_HOLIDAY,TOM",CALENDAR,True,IS
2007-09-27,2007-10-03,109.1022,109.4742,232,86.3,13.8369,13.8937,27.7306,False,4,TOM,CALENDAR,True,IS
2007-10-30,2007-11-05,109.0808,106.8187,233,-527.08,13.8922,13.6432,27.5354,False,4,TOM,CALENDAR,True,IS
2007-12-28,2008-01-04,105.5332,101.1304,236,-1039.06,13.6596,13.153,26.8126,False,4,"PRE_HOLIDAY,TOM",CALENDAR,True,IS
2009-06-17,2009-06-18,67.6524,68.0691,353,147.11,13.737,13.8248,27.5618,False,1,PRE_HOLIDAY,CALENDAR,True,IS
