entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry
2008-05-22,2008-05-29,100.1161,99.7906,249,-81.05,13.7304,13.7044,27.4348,False,4,SMA_EXIT,False
2009-06-17,2009-06-22,67.505,67.4677,369,-13.78,14.3332,14.345,28.6782,False,3,SMA_EXIT,True
2009-07-08,2009-07-14,65.6557,66.905,379,473.5,14.3731,14.6283,29.0014,False,4,SMA_EXIT,True
2009-09-02,2009-09-08,73.9482,76.2479,343,788.79,14.4277,14.8396,29.2673,False,3,SMA_EXIT,True
2009-09-28,2009-09-29,78.0754,79.222,335,384.09,14.7809,14.9877,29.7686,False,1,SMA_EXIT,True
2009-10-02,2009-10-07,75.9683,78.2996,349,813.64,15.0308,15.4546,30.4854,False,3,SMA_EXIT,True
2009-10-28,2009-10-30,79.0434,79.0657,346,7.73,15.4379,15.4623,30.9002,False,2,SMA_EXIT,True
2010-01-04,2010-01-05,84.1252,84.6965,325,185.67,15.3185,15.4277,30.7462,False,1,SMA_EXIT,True
2010-01-25,2010-02-02,82.5083,81.7051,334,-268.26,15.4822,15.3598,30.842,False,6,TIME_STOP,True
2010-04-28,2010-04-30,89.4929,90.7674,305,388.73,15.1953,15.4089,30.6041,False,2,SMA_EXIT,True
2010-05-07,2010-05-11,84.6746,86.4045,327,565.65,15.5134,15.8221,31.3355,False,2,SMA_EXIT,True
2010-05-19,2010-05-26,84.0207,80.5691,336,-1159.71,15.8383,15.272,31.1103,False,5,STOP_LOSS,False
2010-06-23,2010-06-29,82.8117,79.4097,327,-1112.46,15.2181,14.674,29.8921,False,4,STOP_LOSS,False
2010-08-12,2010-08-18,81.3087,82.6432,319,425.7,14.5982,14.8213,29.4195,False,4,SMA_EXIT,False
2010-11-15,2010-11-19,91.5617,90.9442,288,-177.83,14.6411,14.5688,29.2098,False,4,SMA_EXIT,True
2011-02-24,2011-02-28,99.9052,101.2744,262,358.75,14.4179,14.6099,29.0278,False,2,SMA_EXIT,True
2011-03-17,2011-03-21,97.7069,99.0569,272,367.2,14.6732,14.8735,29.5467,False,2,SMA_EXIT,True
2011-04-12,2011-04-18,100.9831,100.0066,266,-259.75,14.7789,14.6561,29.435,False,4,SMA_EXIT,True
2011-05-05,2011-05-10,102.7922,103.5141,259,186.97,14.6212,14.7302,29.3513,False,3,SMA_EXIT,True
2011-05-24,2011-05-27,101.5351,102.1356,264,158.55,14.7379,14.8318,29.5697,False,3,SMA_EXIT,True
2011-06-06,2011-06-10,99.7335,98.674,271,-287.13,14.8912,14.7611,29.6524,False,4,SMA_EXIT,True
2011-07-28,2011-08-04,100.6209,96.4894,265,-1094.83,14.6816,14.155,28.8366,False,5,STOP_LOSS,False
2012-03-07,2012-03-09,105.2586,106.8871,243,395.73,14.016,14.2298,28.2459,False,2,SMA_EXIT,True
2012-03-23,2012-03-27,109.0542,110.8273,238,421.99,14.1832,14.4113,28.5945,False,2,SMA_EXIT,True
2012-04-10,2012-04-13,107.9819,108.2704,245,70.68,14.4736,14.5236,28.9973,False,3,SMA_EXIT,True
2012-05-07,2012-05-15,106.8547,104.7907,248,-511.87,14.5141,14.2636,28.7777,False,6,TIME_STOP,True
2012-06-04,2012-06-07,100.499,104.3606,259,1000.15,14.3303,14.8518,29.1821,False,3,SMA_EXIT,True
2012-07-11,2012-07-16,105.5988,106.4498,256,217.84,14.8263,14.9523,29.7787,False,3,SMA_EXIT,True
2012-07-25,2012-07-27,105.5988,107.5895,258,513.59,14.9393,15.2155,30.1548,False,2,SMA_EXIT,True
2012-08-24,2012-08-28,110.3981,110.9614,251,141.38,15.1274,15.2127,30.3401,False,2,SMA_EXIT,True
2012-08-31,2012-09-07,111.1692,113.1858,251,506.17,15.2162,15.4936,30.7098,False,4,SMA_EXIT,True
2012-09-26,2012-10-02,113.9616,114.5091,249,136.34,15.4541,15.5377,30.9918,False,4,SMA_EXIT,True
2012-10-10,2012-10-16,114.0485,114.3827,250,83.55,15.523,15.5798,31.1028,False,4,SMA_EXIT,True
2012-10-24,2012-11-01,112.2688,111.9251,255,-87.64,15.6107,15.5827,31.1934,False,4,SMA_EXIT,True
2012-11-09,2012-11-19,108.8598,108.9619,262,26.76,15.5978,15.6293,31.2271,False,6,TIME_STOP,False
2012-12-31,2013-01-02,111.2568,115.4724,256,1079.19,15.5407,16.1039,31.6446,False,1,SMA_EXIT,True
2013-06-06,2013-06-10,128.9864,132.1326,229,720.47,15.9325,16.311,32.2435,False,2,SMA_EXIT,True
2013-06-21,2013-06-27,128.4142,129.4487,236,244.16,16.362,16.5032,32.8652,False,4,SMA_EXIT,True
2013-08-16,2013-08-23,133.5782,133.8282,229,57.25,16.4548,16.5037,32.9585,False,5,SMA_EXIT,True
2013-09-26,2013-10-02,136.8643,135.934,224,-208.38,16.4624,16.3758,32.8382,False,4,SMA_EXIT,True
2013-12-04,2013-12-09,144.7693,146.5282,210,369.36,16.2679,16.4644,32.7323,False,3,SMA_EXIT,True
2013-12-13,2013-12-17,144.2843,144.8405,213,118.46,16.4455,16.5219,32.9674,False,2,SMA_EXIT,True
2014-01-27,2014-01-31,145.5228,143.7028,212,-385.85,16.5093,16.3327,32.842,False,4,SMA_EXIT,True
2014-03-14,2014-03-18,150.2281,151.5778,203,273.99,16.2774,16.4325,32.7099,False,2,SMA_EXIT,True
2014-04-08,2014-04-10,150.4096,152.5485,205,438.47,16.4608,16.7031,33.1638,False,2,SMA_EXIT,True
2014-06-13,2014-06-18,158.2947,158.8683,197,113.0,16.589,16.6607,33.2497,False,3,SMA_EXIT,True
2014-07-30,2014-08-07,162.1124,158.0809,193,-778.07,16.6243,16.2567,32.881,False,6,TIME_STOP,True
2014-09-24,2014-10-02,163.1914,159.8406,187,-626.6,16.2047,15.9139,32.1186,False,6,TIME_STOP,True
2014-10-14,2014-10-20,155.2645,154.8604,193,-77.99,15.9749,15.9514,31.9263,False,4,SMA_EXIT,False
2014-12-11,2014-12-18,168.0037,168.5334,178,94.28,15.8561,15.9319,31.7881,False,5,SMA_EXIT,True
2015-01-02,2015-01-09,171.0024,170.8376,175,-28.84,15.8624,15.8675,31.7298,False,5,SMA_EXIT,True
2015-01-16,2015-01-20,164.697,167.5267,182,515.0,15.924,16.1932,32.1172,False,1,SMA_EXIT,True
2015-01-29,2015-02-03,166.0311,168.0234,183,364.59,16.1333,16.3328,32.4661,False,3,SMA_EXIT,True
2015-03-09,2015-03-13,172.1292,171.1439,179,-176.36,16.3157,16.247,32.5628,False,4,SMA_EXIT,True
2015-03-26,2015-03-31,170.5839,172.3153,179,309.93,16.1857,16.359,32.5447,False,3,SMA_EXIT,True
2015-05-01,2015-05-04,174.279,175.6161,177,236.67,16.3251,16.4597,32.7848,False,1,SMA_EXIT,True
2015-05-27,2015-05-28,175.8187,176.5306,177,126.0,16.4661,16.5459,33.012,False,1,SMA_EXIT,True
2015-06-09,2015-06-11,173.4884,175.824,180,420.4,16.528,16.7582,33.2862,False,2,SMA_EXIT,True
2015-06-30,2015-07-06,173.3371,171.9086,183,-261.41,16.796,16.6819,33.4779,False,3,SMA_EXIT,True
2015-07-24,2015-07-29,175.8794,175.0082,179,-155.96,16.6605,16.5969,33.2574,False,3,SMA_EXIT,True
2015-08-21,2015-08-24,168.7124,161.7918,185,-1280.31,16.5609,15.9444,32.5052,False,1,STOP_LOSS,False
2015-11-10,2015-11-18,174.4484,173.0291,172,-244.12,15.8831,15.7823,31.6654,False,6,TIME_STOP,True
2015-12-14,2015-12-16,169.8753,173.3062,175,600.42,15.7669,16.0837,31.8506,False,2,SMA_EXIT,False
2016-05-02,2016-05-10,175.8901,175.5342,173,-61.57,16.0994,16.082,32.1814,False,6,TIME_STOP,True
2016-06-14,2016-06-21,176.8081,177.7957,171,168.88,15.9875,16.0863,32.0738,False,5,SMA_EXIT,True
2016-06-28,2016-06-30,172.1567,176.8652,177,833.41,16.1549,16.5918,32.7466,False,2,SMA_EXIT,True
2016-08-03,2016-08-08,184.1187,186.4169,170,390.69,16.5129,16.7217,33.2346,False,3,SMA_EXIT,True
2016-08-29,2016-08-30,185.7934,186.2974,171,86.2,16.7506,16.8091,33.5596,False,1,SMA_EXIT,True
2016-09-12,2016-09-16,181.4786,183.1377,175,290.34,16.778,16.9411,33.7192,False,4,SMA_EXIT,True
2016-10-31,2016-11-08,182.8589,182.46,175,-69.8,16.887,16.8769,33.7638,False,6,TIME_STOP,True
2017-01-03,2017-01-04,194.3975,194.6934,165,48.82,16.8774,16.9187,33.7961,False,1,SMA_EXIT,True
2017-03-22,2017-03-29,202.8171,203.6614,158,133.41,16.828,16.908,33.736,False,5,SMA_EXIT,True
2017-04-13,2017-04-18,202.7042,202.5607,159,-22.82,16.9194,16.9275,33.8469,False,2,SMA_EXIT,True
2017-05-18,2017-05-22,204.5175,207.0503,157,397.64,16.8566,17.0716,33.9282,False,2,SMA_EXIT,True
2017-06-28,2017-06-29,211.4169,212.2056,154,121.46,17.0621,17.1404,34.2025,False,1,SMA_EXIT,True
2017-08-11,2017-08-15,212.742,215.0971,153,360.32,17.0509,17.2514,34.3023,False,2,SMA_EXIT,True
2017-11-16,2017-11-17,225.6255,226.0024,146,55.04,17.2109,17.2553,34.4662,False,1,SMA_EXIT,True
2018-02-05,2018-02-08,240.807,230.9332,137,-1352.71,17.2159,16.5602,33.7762,False,3,STOP_LOSS,True
2018-03-02,2018-03-06,234.0704,240.4237,135,857.69,16.5171,16.9558,33.4729,False,2,SMA_EXIT,True
2018-03-20,2018-03-23,239.5522,229.7299,136,-1335.83,16.9964,16.3487,33.3451,False,3,STOP_LOSS,True
2018-04-25,2018-04-27,232.4526,235.8223,134,451.53,16.2755,16.5191,32.7946,False,2,SMA_EXIT,True
2018-05-30,2018-05-31,239.1632,240.371,132,159.44,16.465,16.5612,33.0262,False,1,SMA_EXIT,True
2018-06-20,2018-06-28,245.3613,238.9131,130,-838.27,16.6139,16.2099,32.8238,False,6,TIME_STOP,True
2018-08-14,2018-08-17,251.2672,251.813,123,67.13,16.0803,16.1321,32.2124,False,3,SMA_EXIT,True
2018-09-07,2018-09-12,254.8729,256.4533,122,192.82,16.1693,16.2797,32.449,False,3,SMA_EXIT,True
2018-10-05,2018-10-11,258.4442,247.8483,121,-1282.11,16.2496,15.6393,31.8888,False,4,STOP_LOSS,True
2018-10-24,2018-10-31,243.8493,241.2064,123,-325.08,15.643,15.4979,31.1408,False,5,SMA_EXIT,False
2019-03-07,2019-03-12,248.4138,250.1543,119,207.12,15.3891,15.5098,30.8988,False,3,SMA_EXIT,True
2019-05-10,2019-05-16,257.4303,257.3605,116,-8.09,15.5255,15.5463,31.0718,False,4,SMA_EXIT,True
2019-05-30,2019-06-05,251.563,254.2002,119,313.83,15.5882,15.7657,31.3539,False,4,SMA_EXIT,True
2019-08-01,2019-08-05,269.5323,258.4821,112,-1237.62,15.6689,15.0752,30.7441,False,2,STOP_LOSS,True
2019-09-24,2019-10-01,272.4237,270.6232,106,-190.86,14.983,14.9022,29.8852,False,5,SMA_EXIT,True
2019-12-04,2019-12-06,282.6961,285.5116,102,287.19,14.9371,15.0975,30.0346,False,2,SMA_EXIT,True
2020-01-28,2020-01-31,297.2156,298.6801,98,143.52,15.0705,15.1597,30.2303,False,3,SMA_EXIT,True
2020-02-25,2020-02-27,296.1917,284.0491,98,-1189.97,15.0377,14.4599,29.4977,False,2,STOP_LOSS,True
2020-06-12,2020-06-17,283.4941,288.5564,99,501.16,14.5703,14.8338,29.4041,False,3,SMA_EXIT,True
2020-09-09,2020-09-15,311.8168,314.7886,91,270.44,14.6786,14.8293,29.5079,False,4,SMA_EXIT,True
2020-09-21,2020-09-28,302.0747,308.7292,95,632.18,14.8601,15.1954,30.0555,False,5,SMA_EXIT,True
2020-10-20,2020-10-23,318.5461,320.5053,92,180.25,15.1458,15.2459,30.3918,False,3,SMA_EXIT,True
2020-10-29,2020-11-04,303.1968,315.8077,97,1223.26,15.2278,15.8557,31.0834,False,4,SMA_EXIT,True
2020-12-15,2020-12-16,340.749,342.64,90,170.19,15.8036,15.9042,31.7078,False,1,SMA_EXIT,True
2021-01-28,2021-02-03,350.5468,355.8429,88,466.06,15.8879,16.1427,32.0306,False,4,SMA_EXIT,True
2021-02-23,2021-02-25,358.2775,363.2588,88,438.35,16.232,16.4681,32.7002,False,2,SMA_EXIT,True
2021-05-13,2021-05-17,380.3919,387.7678,84,619.57,16.4162,16.7454,33.1615,False,2,SMA_EXIT,True
2021-06-21,2021-06-22,390.7581,394.1502,83,281.54,16.6457,16.8021,33.4478,False,1,SMA_EXIT,True
2021-07-19,2021-07-22,399.5615,407.1591,82,623.0,16.8083,17.1374,33.9457,False,3,SMA_EXIT,True
2021-08-19,2021-08-23,409.0115,416.9182,81,640.45,16.9816,17.3197,34.3013,False,2,SMA_EXIT,True
2021-09-10,2021-09-16,422.8584,418.9413,80,-313.37,17.3266,17.1853,34.512,False,4,SMA_EXIT,True
2021-09-21,2021-09-24,410.5663,414.7587,82,343.77,17.2565,17.4486,34.7051,False,3,SMA_EXIT,True
2021-10-01,2021-10-06,405.3466,403.3241,84,-169.89,17.4647,17.3985,34.8632,False,3,SMA_EXIT,True
2021-11-29,2021-12-07,436.4681,436.3405,77,-9.82,17.207,17.2282,34.4353,False,6,TIME_STOP,True
