entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry
2022-01-06,2022-01-12,441.6098,444.6404,56,169.71,12.8236,12.9228,25.7465,False,4,SMA_EXIT,True
2022-01-19,2022-01-21,432.3982,414.6712,58,-1028.16,13.0139,12.505,25.5189,False,2,STOP_LOSS,True
2022-04-12,2022-04-20,419.49,422.6918,57,182.51,12.2561,12.3592,24.6153,False,5,SMA_EXIT,False
2023-02-22,2023-03-02,383.1957,376.248,63,-437.7,12.4019,12.1922,24.594,False,6,TIME_STOP,True
2023-03-10,2023-03-15,375.0142,369.7421,63,-332.14,12.1415,11.9867,24.1282,False,3,SMA_EXIT,True
2023-04-26,2023-04-28,391.59,395.776,60,251.16,12.0571,12.1962,24.2533,False,2,SMA_EXIT,True
2023-05-05,2023-05-08,393.6985,397.1995,60,210.06,12.1235,12.241,24.3645,False,1,SMA_EXIT,True
2023-05-25,2023-05-30,399.3116,405.9137,60,396.12,12.29,12.5012,24.7912,False,2,SMA_EXIT,True
2023-08-04,2023-08-08,435.5645,432.5701,56,-167.69,12.4824,12.4115,24.8939,False,2,SMA_EXIT,True
2023-08-17,2023-08-22,426.3262,425.9089,56,-23.37,12.2242,12.2246,24.4488,False,3,SMA_EXIT,True
2023-09-08,2023-09-12,429.9404,431.4792,56,86.17,12.3278,12.3836,24.7113,False,2,SMA_EXIT,True
2023-09-21,2023-09-29,422.535,418.1979,57,-247.21,12.338,12.2236,24.5617,False,6,TIME_STOP,True
2023-10-04,2023-10-09,409.317,414.2355,58,285.27,12.1689,12.3249,24.4938,False,3,SMA_EXIT,True
2023-10-20,2023-10-30,413.1088,400.6528,58,-722.45,12.2797,11.9317,24.2114,False,6,TIME_STOP,False
2024-01-04,2024-01-09,455.9908,458.9973,51,153.33,11.8883,11.9777,23.866,False,3,SMA_EXIT,True
2024-01-18,2024-01-19,461.5507,464.6196,51,156.51,12.0308,12.1218,24.1526,False,1,SMA_EXIT,True
2024-04-05,2024-04-08,502.4934,506.557,47,190.99,12.0493,12.1568,24.206,False,1,SMA_EXIT,True
2024-04-16,2024-04-23,493.195,489.6081,48,-172.17,12.0846,12.0114,24.096,False,5,SMA_EXIT,True
2024-05-31,2024-06-03,511.411,516.1877,46,219.73,11.9998,12.1209,24.1207,False,1,SMA_EXIT,True
2024-07-22,2024-07-24,541.8793,537.2741,44,-202.63,12.1505,12.0652,24.2157,False,2,SMA_EXIT,True
2024-08-06,2024-08-09,508.779,518.6258,47,462.8,12.2113,12.4572,24.6685,False,3,SMA_EXIT,True
2024-09-09,2024-09-11,533.6973,537.1175,45,153.91,12.25,12.3383,24.5883,False,2,SMA_EXIT,True
2024-10-24,2024-10-29,570.0595,569.3514,43,-30.45,12.4798,12.4763,24.9561,False,3,SMA_EXIT,True
2024-11-01,2024-11-06,561.5478,578.5321,43,730.33,12.2994,12.6817,24.9811,False,3,SMA_EXIT,True
2024-11-18,2024-11-21,576.1929,582.6561,43,277.92,12.6189,12.77,25.3889,False,3,SMA_EXIT,True
2024-12-19,2024-12-24,581.2449,587.2378,44,263.69,13.0216,13.1677,26.1893,False,3,SMA_EXIT,True
