date,entry_price,exit_price,shares,gross_return_pct,cost_pct,net_return_pct,intraday_return_pct,sma200,sigma,adv_shares,liquidity_constrained
2018-01-16,243.7795,244.7125,102,0.3827,0.0142,0.3685,-0.852,218.11,0.004041,78101855,False
2018-01-24,249.2454,250.1079,100,0.346,0.0141,0.3319,-0.2958,219.41,0.004062,85350785,False
2018-01-25,249.3509,250.1871,100,0.3354,0.0141,0.3213,-0.3027,219.64,0.003993,87317930,False
2018-01-29,250.5656,248.7349,99,-0.7306,0.0141,-0.7447,-0.4372,220.12,0.004931,92067645,False
2018-01-30,247.9956,248.8493,100,0.3442,0.0141,0.3301,-0.2972,220.35,0.005575,93857095,False
2018-01-31,248.1187,247.3883,100,-0.2944,0.0141,-0.3085,-0.2936,220.58,0.005495,94942550,False
2018-02-02,242.4416,240.6814,103,-0.7261,0.0143,-0.7403,-1.6531,221.0,0.007595,99571075,False
2018-02-05,232.3022,228.7903,107,-1.5118,0.0145,-1.5263,-3.4814,221.14,0.012039,110128965,False
2018-02-07,235.594,235.8933,106,0.127,0.0145,0.1126,-0.3091,221.46,0.012962,130520450,False
2018-02-08,226.7572,229.5472,110,1.2304,0.0147,1.2157,-3.873,221.56,0.015299,139364210,False
2018-02-20,238.877,239.3171,104,0.1842,0.0145,0.1698,-0.2316,222.59,0.016377,153428645,False
2018-02-21,237.6888,238.6129,105,0.3888,0.0145,0.3743,-0.6804,222.74,0.016362,153518595,False
2018-02-22,237.9968,239.2202,105,0.5141,0.0145,0.4996,-0.2582,222.89,0.016377,152303355,False
2018-02-27,241.5439,242.6441,103,0.4555,0.0144,0.441,-1.3232,223.42,0.017014,152098770,False
2018-02-28,239.097,238.8858,104,-0.0883,0.0145,-0.1028,-1.4618,223.58,0.017011,151604340,False
2018-03-01,235.6204,233.9481,106,-0.7098,0.0145,-0.7243,-1.3669,223.71,0.01724,155028855,False
2018-03-12,245.1438,246.3056,101,0.474,0.0143,0.4597,-0.2436,224.91,0.009681,107265945,False
2018-03-13,243.5595,244.5188,102,0.3939,0.0143,0.3796,-1.1149,225.08,0.009515,104677590,False
2018-03-14,242.3096,242.8201,103,0.2107,0.0143,0.1964,-0.9035,225.24,0.009652,105911165,False
2018-03-15,242.0456,242.5732,103,0.218,0.0143,0.2037,-0.319,225.4,0.009262,104046030,False
2018-03-19,239.0296,239.4272,104,0.1663,0.0144,0.152,-1.0463,225.71,0.009379,100942615,False
2018-03-22,233.0028,233.4447,107,0.1896,0.0145,0.1751,-1.5826,226.1,0.010805,100517020,False
2018-03-23,228.0365,231.6419,109,1.5811,0.0146,1.5665,-2.3167,226.18,0.010941,105055440,False
2018-03-27,230.2899,230.4224,108,0.0575,0.0146,0.043,-2.0927,226.39,0.012731,109370785,False
2018-03-28,229.6094,230.7493,108,0.4965,0.0146,0.4818,-0.3528,226.48,0.012599,110598010,False
2018-04-02,227.5239,228.7611,109,0.5438,0.0147,0.5291,-1.9349,226.66,0.013396,109695490,False
2018-04-06,229.5122,230.9703,108,0.6353,0.0146,0.6207,-1.4046,227.06,0.014587,118463525,False
2018-04-13,234.3106,235.9455,106,0.6977,0.0145,0.6832,-0.8451,227.61,0.014722,117825260,False
2018-04-19,237.6157,237.545,105,-0.0298,0.0145,-0.0443,-0.2818,228.15,0.014843,113576665,False
2018-04-20,235.6008,236.1753,106,0.2438,0.0145,0.2293,-0.8184,228.27,0.013814,111135025,False
2018-04-23,235.5655,236.5906,106,0.4351,0.0145,0.4206,-0.2582,228.4,0.012818,105236185,False
2018-04-24,232.393,232.3312,107,-0.0266,0.0145,-0.0412,-1.7742,228.51,0.011721,103782655,False
2018-04-30,233.7451,233.1795,106,-0.242,0.0145,-0.2565,-1.029,228.96,0.009776,90609010,False
2018-05-02,232.5874,231.7568,107,-0.3571,0.0145,-0.3716,-0.5892,229.15,0.009246,86454015,False
2018-05-22,240.903,239.6305,103,-0.5282,0.0143,-0.5425,-0.4928,230.8,0.005905,72049310,False
2018-05-29,237.7305,239.0384,105,0.5502,0.0144,0.5358,-0.4772,231.3,0.006043,72159945,False
2018-05-31,239.4272,240.7263,104,0.5425,0.0143,0.5282,-0.4446,231.57,0.00662,72291245,False
2018-06-07,245.1094,244.6499,101,-0.1875,0.0142,-0.2017,-0.2087,232.33,0.006264,66965065,False
2018-06-13,245.6926,246.5586,101,0.3525,0.0142,0.3383,-0.4155,232.99,0.005773,67398550,False
2018-06-21,243.4317,244.6921,102,0.5178,0.0142,0.5035,-0.6233,233.91,0.005783,73493635,False
2018-06-22,243.8755,242.7215,102,-0.4732,0.0142,-0.4874,-0.3337,234.05,0.005761,72436370,False
2018-06-25,240.5556,241.1237,103,0.2362,0.0143,0.2219,-0.8923,234.18,0.006559,76510340,False
2018-06-27,239.091,239.0377,104,-0.0223,0.0143,-0.0366,-1.0688,234.42,0.005515,75913895,False
2018-06-29,240.8041,239.233,103,-0.6525,0.0143,-0.6667,-0.3087,234.65,0.00503,76387130,False
2018-07-03,240.4668,241.5942,103,0.4688,0.0143,0.4546,-0.722,234.88,0.004972,76848215,False
2018-07-27,249.805,249.885,100,0.032,0.0141,0.0179,-0.8072,237.25,0.005149,61608600,False
2018-07-30,248.5002,249.2635,100,0.3072,0.0142,0.293,-0.5542,237.38,0.005392,59916100,False
2018-08-01,249.308,248.0031,100,-0.5234,0.0141,-0.5375,-0.2486,237.64,0.005363,60750195,False
2018-08-13,250.4087,251.1365,99,0.2907,0.0141,0.2765,-0.4833,238.76,0.004424,58803525,False
2018-08-15,250.1245,251.5626,99,0.5749,0.0141,0.5608,-0.2125,239.03,0.004879,61296445,False
2018-08-30,257.6875,257.2791,97,-0.1585,0.014,-0.1725,-0.22,240.63,0.004563,56251160,False
2018-09-06,255.7879,254.7405,97,-0.4095,0.014,-0.4235,-0.3424,241.26,0.004623,60423660,False
2018-09-10,255.7346,255.0866,97,-0.2534,0.014,-0.2674,-0.2216,241.54,0.004325,60970795,False
2018-09-17,256.8353,257.0483,97,0.0829,0.014,0.069,-0.5089,242.26,0.003591,57801430,False
2018-09-21,260.3609,259.7813,96,-0.2226,0.0139,-0.2365,-0.3753,242.82,0.00402,63580110,False
2018-09-25,259.2552,259.3978,96,0.055,0.0139,0.041,-0.2676,243.1,0.003638,62741100,False
2018-09-26,258.4793,258.952,96,0.1829,0.014,0.1689,-0.3541,243.23,0.003716,64380910,False
2018-10-03,260.1202,259.6386,96,-0.1851,0.0139,-0.1991,-0.3484,243.89,0.003392,63604410,False
2018-10-04,258.0871,258.31,96,0.0863,0.014,0.0724,-0.5976,244.0,0.003813,65886210,False
2018-10-05,256.6425,255.9559,97,-0.2675,0.014,-0.2815,-0.6455,244.1,0.004016,67507555,False
