rsi_entry,rsi_exit,stop_loss_pct,sharpe,max_drawdown,win_rate,trade_count,total_return,profit_factor,sharpe_delta_pct
15,60,0.05,0.312,-0.041,0.7,30,0.0832,1.7731,-56.77
15,60,0.075,0.2584,-0.0235,0.7241,29,0.0479,1.6288,-64.2
15,60,0.1,0.22,-0.0206,0.7241,29,0.0315,1.5164,-69.52
15,65,0.05,0.312,-0.041,0.7,30,0.0832,1.7731,-56.77
15,65,0.075,0.2584,-0.0235,0.7241,29,0.0479,1.6288,-64.2
15,65,0.1,0.22,-0.0206,0.7241,29,0.0315,1.5164,-69.52
15,70,0.05,0.312,-0.041,0.7,30,0.0832,1.7731,-56.77
15,70,0.075,0.2584,-0.0235,0.7241,29,0.0479,1.6288,-64.2
15,70,0.1,0.22,-0.0206,0.7241,29,0.0315,1.5164,-69.52
20,60,0.05,0.7289,-0.0432,0.7077,65,0.3174,2.6909,1.0
20,60,0.075,0.7076,-0.0226,0.7188,64,0.2018,2.7359,-1.95
20,60,0.1,0.6767,-0.0209,0.7188,64,0.1458,2.6696,-6.24
20,65,0.05,0.7411,-0.0434,0.7077,65,0.3258,2.7269,2.69
20,65,0.075,0.7217,-0.0225,0.7188,64,0.2073,2.7823,0.0
20,65,0.1,0.6911,-0.0209,0.7188,64,0.1499,2.7165,-4.24
20,70,0.05,0.7411,-0.0434,0.7077,65,0.3258,2.7269,2.69
20,70,0.075,0.7217,-0.0225,0.7188,64,0.2073,2.7823,0.0
20,70,0.1,0.6911,-0.0209,0.7188,64,0.1499,2.7165,-4.24
25,60,0.05,0.8409,-0.0395,0.74,100,0.4808,2.312,16.52
25,60,0.075,0.8306,-0.0323,0.7419,93,0.294,2.5688,15.09
25,60,0.1,0.7758,-0.0293,0.7419,93,0.205,2.4397,7.5
25,65,0.05,0.8628,-0.0396,0.74,100,0.5046,2.3634,19.55
25,65,0.075,0.8531,-0.0324,0.7419,93,0.3079,2.648,18.21
25,65,0.1,0.8002,-0.0291,0.7419,93,0.2152,2.5184,10.88
25,70,0.05,0.8817,-0.0396,0.74,100,0.5186,2.3906,22.17
25,70,0.075,0.8708,-0.0324,0.7419,93,0.3157,2.6777,20.66
25,70,0.1,0.8159,-0.0292,0.7419,93,0.2198,2.5405,13.05
