entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
2005-01-05,2005-01-19,47.1114,46.8506,141,-36.78,1.1159,1.1138,2.2298,False,9,RSI_EXIT,True,True,True,IS
2005-02-23,2005-02-28,46.5605,47.8349,142,180.96,1.0586,1.0693,2.1279,False,3,RSI_EXIT,True,True,True,IS
2005-03-21,2005-04-06,46.7867,46.4335,143,-50.52,1.0654,1.0588,2.1241,False,11,HIGH_EXIT,True,True,True,IS
2005-04-15,2005-04-22,44.4335,45.0323,150,89.82,1.0988,1.1083,2.2071,False,5,HIGH_EXIT,False,True,True,IS
2005-08-08,2005-08-26,50.2403,49.762,133,-63.62,1.0142,1.0104,2.0246,False,14,HIGH_EXIT,True,True,True,IS
2005-09-22,2005-09-30,49.1016,50.2798,136,160.23,1.0315,1.0363,2.0678,False,6,RSI_EXIT,True,True,True,IS
2005-10-07,2005-10-20,48.7415,48.2695,138,-65.13,1.0421,1.04,2.0821,False,9,HIGH_EXIT,True,True,True,IS
2005-12-20,2005-12-23,50.9651,52.0487,131,141.96,0.9993,1.0074,2.0067,False,3,HIGH_EXIT,True,True,False,IS
2006-04-12,2006-04-19,56.4119,58.748,119,278.0,0.9427,0.9584,1.9011,False,4,RSI_EXIT,True,True,True,IS
2006-05-15,2006-05-26,55.8909,55.6529,122,-29.03,0.9647,0.9622,1.927,False,9,HIGH_EXIT,True,True,True,IS
2006-11-28,2006-12-05,58.9656,61.1125,115,246.89,0.9243,0.9363,1.8606,False,5,RSI_EXIT,True,True,True,IS
2007-02-28,2007-03-12,60.5919,60.2974,113,-33.28,0.9194,0.9186,1.838,False,8,HIGH_EXIT,True,True,True,IS
2007-06-08,2007-06-15,63.4193,65.2771,108,200.64,0.8901,0.9009,1.7911,False,5,HIGH_EXIT,True,True,True,IS
2007-07-25,2007-08-03,63.222,58.4647,109,-518.54,0.8974,0.8721,1.7695,False,7,STOP_LOSS,True,True,True,IS
2007-10-22,2007-10-29,61.1042,63.9505,111,315.93,0.9056,0.9209,1.8265,False,5,HIGH_EXIT,False,True,True,IS
2009-06-17,2009-07-02,40.1519,40.5813,171,73.43,1.2211,1.2227,2.4439,False,11,RSI_EXIT,True,True,True,IS
2009-07-08,2009-07-15,38.7926,40.2463,178,258.75,1.2564,1.274,2.5304,False,5,HIGH_EXIT,True,True,True,IS
2009-09-02,2009-09-09,44.401,46.0056,157,251.92,1.1533,1.1661,2.3194,False,4,RSI_EXIT,True,True,True,IS
2009-10-05,2009-10-09,46.6325,48.6485,151,304.42,1.1246,1.1405,2.2651,False,4,RSI_EXIT,True,True,False,IS
2009-10-28,2009-11-06,46.8564,45.914,152,-143.25,1.1351,1.1271,2.2621,False,7,HIGH_EXIT,True,True,True,IS
2010-01-27,2010-02-12,48.9174,48.1637,144,-108.53,1.0858,1.0808,2.1666,False,12,HIGH_EXIT,True,True,True,IS
2010-05-07,2010-05-13,53.6996,57.5068,131,498.74,1.0231,1.0529,2.076,False,4,RSI_EXIT,True,True,True,IS
2010-05-21,2010-05-28,50.7698,53.8449,141,433.59,1.0845,1.108,2.1926,False,5,RSI_EXIT,True,True,True,IS
2010-06-25,2010-07-09,51.3412,50.0413,142,-184.59,1.095,1.0822,2.1772,False,9,HIGH_EXIT,False,True,True,IS
2010-08-12,2010-08-19,49.1441,50.5339,147,204.3,1.1176,1.1257,2.2432,False,5,HIGH_EXIT,False,True,True,IS
2011-01-24,2011-01-27,62.7869,64.3317,116,179.2,0.9556,0.965,1.9206,False,3,HIGH_EXIT,True,True,False,IS
2011-03-17,2011-03-22,64.5192,66.202,114,191.84,0.9509,0.9611,1.912,False,3,RSI_EXIT,True,True,True,IS
2011-04-13,2011-04-21,67.3594,68.7196,109,148.26,0.9211,0.9296,1.8507,False,6,RSI_EXIT,True,True,True,IS
2011-05-06,2011-05-11,68.264,69.4529,109,129.6,0.9277,0.9353,1.8629,False,3,RSI_EXIT,True,True,True,IS
2011-06-07,2011-06-22,65.2325,65.3624,114,14.81,0.9556,0.9566,1.9122,False,11,RSI_EXIT,True,True,True,IS
2011-07-28,2011-08-04,65.3631,60.445,114,-560.67,0.9559,0.9301,1.886,False,5,STOP_LOSS,True,True,True,IS
2012-03-07,2012-03-12,65.0708,67.3873,112,259.45,0.9355,0.9495,1.885,False,3,RSI_EXIT,True,True,True,IS
2012-04-10,2012-04-18,66.1056,66.494,112,43.5,0.9429,0.9457,1.8885,False,6,HIGH_EXIT,True,True,True,IS
2012-05-15,2012-05-25,64.377,63.4258,115,-109.38,0.9551,0.9503,1.9054,False,8,HIGH_EXIT,True,True,True,IS
2012-06-04,2012-06-07,61.2837,64.2197,120,352.32,0.9806,1.0012,1.9818,False,3,HIGH_EXIT,False,True,False,IS
2012-07-24,2012-07-30,64.7965,66.0846,115,148.13,0.9612,0.9678,1.9289,False,4,RSI_EXIT,True,True,True,IS
2012-09-27,2012-10-05,69.6718,70.5641,107,95.48,0.9178,0.9209,1.8387,False,6,HIGH_EXIT,True,True,True,IS
2012-10-11,2012-10-17,69.3463,69.5962,108,26.99,0.9225,0.9247,1.8472,False,4,HIGH_EXIT,True,True,True,IS
2013-04-03,2013-04-11,78.4488,79.1819,96,70.37,0.8652,0.87,1.7352,False,6,RSI_EXIT,True,True,True,IS
2013-08-16,2013-08-23,86.3118,87.4627,87,100.13,0.8197,0.8269,1.6466,False,5,HIGH_EXIT,True,True,True,IS
