Pair,Category,Window,% p<0.10 (IS),% p<0.05 (IS),Avg p-val,Pre-COVID p<0.10,Post-COVID p<0.10,Status
XLF/KRE,ETF,63,13.3%,7.1%,0.4967,17.5%,9.2%,FAIL
XLE/OIH,ETF,63,16.4%,8.5%,0.4084,14.0%,19.7%,FAIL
XLV/IBB,ETF,63,12.8%,7.4%,0.4979,17.9%,5.2%,FAIL
XLP/XLY,ETF,63,19.0%,12.2%,0.4574,11.6%,19.2%,FAIL
GLD/SLV,ETF,63,10.7%,5.5%,0.5360,7.2%,17.2%,FAIL
FITB/KEY,ALT,63,13.1%,8.0%,0.4864,10.1%,15.5%,FAIL
WFC/USB,ALT,63,16.6%,8.5%,0.4366,23.0%,6.0%,FAIL
PG/CL,ALT,63,13.4%,7.3%,0.4824,10.9%,13.0%,FAIL
XLF/KRE,ETF,126,12.2%,5.4%,0.4903,17.3%,7.2%,FAIL
XLE/OIH,ETF,126,12.4%,3.9%,0.4931,12.5%,14.2%,FAIL
XLV/IBB,ETF,126,16.0%,8.0%,0.5035,13.8%,20.7%,FAIL
XLP/XLY,ETF,126,11.9%,7.6%,0.5152,4.8%,16.0%,FAIL
GLD/SLV,ETF,126,7.5%,5.7%,0.5932,9.0%,6.7%,FAIL
FITB/KEY,ALT,126,9.0%,6.0%,0.5065,11.4%,7.2%,FAIL
WFC/USB,ALT,126,13.8%,7.9%,0.4651,17.7%,3.7%,FAIL
PG/CL,ALT,126,7.1%,2.9%,0.6048,9.0%,5.2%,FAIL
XLF/KRE,ETF,252,2.1%,0.9%,0.5873,2.9%,1.2%,FAIL
XLE/OIH,ETF,252,5.8%,2.7%,0.5330,8.7%,2.7%,FAIL
XLV/IBB,ETF,252,4.9%,1.2%,0.5475,0.4%,6.0%,FAIL
XLP/XLY,ETF,252,3.2%,0.8%,0.4888,1.1%,6.5%,FAIL
GLD/SLV,ETF,252,0.0%,0.0%,0.6974,0.0%,0.0%,FAIL
FITB/KEY,ALT,252,4.5%,2.0%,0.5156,6.4%,2.5%,FAIL
WFC/USB,ALT,252,5.9%,2.7%,0.5348,1.5%,2.7%,FAIL
PG/CL,ALT,252,0.0%,0.0%,0.7400,0.0%,0.0%,FAIL
