date,signal_time,session,or_width_pct,assumed_entry,realistic_entry,assumed_exit,realistic_exit,exit_reason,entry_gap_bps,momentum_adverse_bps,exit_gap_bps,total_gap_bps,model_cost_bps,realistic_cost_bps,cost_model_delta_bps,pnl_backtest,pnl_realistic,pnl_delta,filled
2026-05-01,09:50,open,0.2602,722.63,722.7029,721.08,720.9935,eod,1.01,-0.19,1.2,2.21,10.24,2.64,7.6,-228.99,-190.01,38.98,True
2026-05-04,09:47,open,0.1472,720.39,720.4781,719.277,719.1044,stop,1.22,0.02,2.4,3.62,10.24,2.64,7.6,-185.06,-156.39,28.67,True
2026-05-05,09:45,open,0.1371,722.46,722.5505,724.4404,724.3535,target,1.25,0.05,1.2,2.45,10.24,2.64,7.6,124.07,161.24,37.16,True
2026-05-06,09:54,open,0.2373,729.65,729.7352,733.11,733.022,target,1.17,-0.03,1.2,2.37,10.24,2.64,7.6,271.31,309.45,38.14,True
2026-05-07,10:39,open,0.1321,735.19,735.2803,734.1715,733.9953,stop,1.23,0.03,2.4,3.63,10.24,2.64,7.6,-177.1,-147.88,29.22,True
2026-05-08,09:45,open,0.1197,735.69,735.7939,737.45,737.3615,target,1.41,0.21,1.2,2.61,10.15,2.55,7.6,101.31,137.99,36.67,True
2026-05-11,09:45,open,0.2641,738.74,738.8286,739.15,739.0613,eod,1.2,0.0,1.2,2.4,10.15,2.55,7.6,-33.96,4.44,38.41,True
2026-05-12,15:15,close,0.2321,737.31,737.3829,738.36,738.2714,eod,0.99,-0.21,1.2,2.19,10.15,2.55,7.6,30.19,70.07,39.89,True
2026-05-13,10:28,open,0.2619,738.5202,738.596,742.38,742.2909,target,1.03,-0.17,1.2,2.23,10.15,2.55,7.6,311.05,350.69,39.64,True
2026-05-14,09:47,open,0.2777,745.61,745.6793,748.02,747.9302,eod,0.93,-0.27,1.2,2.13,10.14,2.54,7.6,165.36,206.13,40.76,True
2026-05-15,10:18,open,0.4562,742.07,742.1526,738.88,738.7913,eod,1.11,-0.09,1.2,2.31,10.14,2.54,7.6,-394.28,-355.01,39.27,True
2026-05-18,09:51,open,0.2832,740.0899,740.1905,737.8954,737.7183,stop,1.36,0.16,2.4,3.76,10.15,2.55,7.6,-294.55,-266.07,28.48,True
2026-05-19,09:54,open,0.3013,735.805,735.9073,733.4845,733.3085,stop,1.39,0.19,2.4,3.79,10.15,2.55,7.6,-306.72,-278.63,28.09,True
2026-05-20,09:45,open,0.2772,736.45,736.5836,734.308,734.1318,stop,1.81,0.61,2.4,4.21,10.15,2.55,7.6,-288.93,-263.94,24.99,True
2026-05-21,09:52,open,0.1681,739.13,739.2255,737.828,737.6509,stop,1.29,0.09,2.4,3.69,10.15,2.55,7.6,-205.2,-176.28,28.92,True
2026-05-22,13:29,midday,0.3358,748.78,748.8535,746.1445,745.9654,stop,0.98,-0.22,2.4,3.38,10.14,2.54,7.6,-339.51,-307.86,31.65,True
2026-05-26,09:45,open,0.209,750.9,751.0007,749.2525,749.0727,stop,1.34,0.14,2.4,3.74,10.14,2.54,7.6,-240.92,-211.9,29.02,True
2026-05-28,10:00,open,0.1588,750.61,750.6865,752.99,752.8996,target,1.02,-0.18,1.2,2.22,10.14,2.54,7.6,161.86,202.22,40.36,True
2026-05-29,09:45,open,0.2627,757.51,757.5915,755.4205,755.2392,stop,1.08,-0.12,2.4,3.48,10.14,2.54,7.6,-285.78,-254.49,31.29,True
2026-06-01,11:30,midday,0.2526,757.03,757.109,758.16,758.069,eod,1.04,-0.16,1.2,2.24,10.14,2.54,7.6,36.22,76.75,40.53,True
2026-06-02,10:04,open,0.1307,757.78,757.8664,759.76,759.6688,target,1.14,-0.06,1.2,2.34,10.14,2.54,7.6,121.15,160.98,39.83,True
2026-06-04,09:58,open,0.2553,753.56,753.6298,757.4,757.3091,target,0.93,-0.27,1.2,2.13,10.14,2.54,7.6,307.57,348.77,41.2,True
